page|87
|(除另有注明外，金额单位均为人民币元)||||(除另有注明外，金额单位均为人民币元)||
||本集团||||本公司|
||2021 年|2020 年|||2021 年|2020 年
|附注六||||||
||12 月 31 日|12 月 31 日||附注七|12 月 31 日|12 月 31 日
负债|||||||
||||资产|||
短期借款|22|7,261,986,937.35|5,010,371,216.16||||
||||货币资金||159,831,017,410.85|151,261,039,831.54
应付短期融资款|23|14,630,461,113.32|11,941,871,221.60||||
||||其中：客户资金存款||100,389,373,659.67|89,431,459,030.03
拆入资金|24|50,683,601,222.25|10,504,114,828.52||||
||||结算备付金||33,421,421,466.28|20,726,530,638.24
交易性金融负债|25|75,643,595,527.14|58,408,743,795.91||||
||||其中：客户备付金||27,121,353,297.16|18,710,816,936.26
衍生金融负债|4|34,117,765,867.20|46,876,205,555.31||||
||||融出资金||108,736,025,541.26|96,834,509,753.63
卖出回购金融资产款|26|235,286,476,021.13|198,299,400,036.70||||
||||衍生金融资产||20,924,031,446.84|26,428,901,521.03
代理买卖证券款|27|251,164,465,946.21|203,110,587,613.79||||
||||买入返售金融资产||45,102,258,444.83|34,778,736,015.77
代理承销证券款|28|711,227,237.17|1,071,235,143.49||||
||||应收款项||26,062,197,485.66|23,807,245,628.95
应付职工薪酬|29|18,944,849,905.48|17,583,983,484.40||||
||||存出保证金||20,911,050,290.23|8,603,714,321.31
应交税费|30|5,066,550,758.81|7,381,981,338.20||||
||||金融投资：|||
应付款项|31|175,904,691,716.03|118,947,545,790.80||||
||||交易性金融资产||373,882,658,138.86|258,978,814,422.72
预计负债|32|954,228,059.23|305,979,812.67||||
||||其他债权投资||75,882,732,520.06|56,477,261,960.15
长期借款|33|457,865,655.70|893,535,664.41||||
||||其他权益工具投资||-|16,440,223,235.14
应付债券|34|181,402,982,140.03|171,987,819,424.94||||
||||长期股权投资|1|46,443,678,582.32|49,976,849,258.79
递延所得税负债|18|3,188,307,789.02|3,176,191,664.55||||
||||投资性房地产||85,116,305.32|89,098,092.59
合同负债|35|172,928,729.49|2,194,220,628.36||||
||||固定资产||357,886,079.49|388,888,830.07
租赁负债|36|1,884,935,122.30|1,705,734,564.74||||
||||在建工程||539,695,155.35|478,902,225.31
其他负债|37|7,380,069,167.18|7,680,036,499.54||||
||||无形资产||2,043,289,532.13|2,090,537,194.46
负债合计||1,064,856,988,915.04|867,079,558,284.09|商誉||43,500,226.67|43,500,226.67
||||递延所得税资产||6,894,379,493.31|7,692,036,751.71
股东权益||||使用权资产|||
||||||1,774,872,356.80|2,040,786,773.41
股本|39|12,926,776,029.00|12,926,776,029.00||||
||||其他资产||17,929,362,680.53|21,210,121,862.86
其他权益工具|40|10,767,729,386.84|-||||
其中：永续债||10,767,729,386.84|-||||
||||资产总计||940,865,173,156.79|778,347,698,544.35
资本公积|41|65,625,856,638.38|65,628,293,570.20||||
其他综合收益|42|(753,204,611.85)|316,814,211.81||||
盈余公积|43|9,985,076,915.57|9,438,480,129.79||||
一般风险准备|44|32,958,534,561.73|28,634,720,699.32||||
未分配利润|45|77,660,564,435.80|64,766,983,940.61||||
归属于母公司股东权益合计||209,171,333,355.47|181,712,068,580.73||||
少数股东权益|46|4,636,452,826.11|4,170,667,167.39||||
股东权益合计||213,807,786,181.58|185,882,735,748.12||||
负债和股东权益总计||1,278,664,775,096.62   1,052,962,294,032.21|||||
