page|21
项目|合并报表|||母公司报表||
其中：经纪业务手续费净收入|604,015,080.45|366,751,891.53|64.69|390,335,651.43|316,730,543.44|23.24
投资银行业务手续费净收入|301,637,134.64|121,461,964.77|148.34|301,165,070.13|121,816,622.02|147.23
投资收益|212,565,145.55|310,654,758.37|-31.58|197,564,173.75|316,982,417.82|-37.67
其中：对联营企业和合营企业的投资收益|23,359,298.75|3,523,193.30|563.01|25,799,491.65|3,103,302.05|731.36
其他收益|7,859,793.13|23,878,986.63|-67.08|7,656,971.23|19,860,841.18|-61.45
公允价值变动收益|182,346,080.26|-31,932,185.68|不适用|76,814,797.33|-35,062,616.17|不适用
汇兑收益|582,528.04|1,521,878.91|-61.72|582,528.04|1,521,878.91|-61.72
其他业务收入|7,613,070.22|5,782,056.34|31.67|8,846,740.83|6,982,056.25|26.71
资产处置收益|64,639.46|146,664.18|-55.93|59,511.51|93,466.15|-36.33
营业支出|1,247,359,529.97|922,527,273.77||35.21  1,019,165,755.11|847,080,321.75|20.32
业务及管理费|1,189,115,928.14|848,289,174.82|40.18|961,919,172.46|773,324,772.98|24.39
信用减值损失|38,067,066.48|0.00|不适用|38,074,694.23|0.00|不适用
资产减值损失|0.00|56,219,858.24|-100.00|0.00|56,053,891.65|-100.00
营业利润|954,417,735.66|311,400,633.79|206.49|802,722,960.91|309,156,031.31|159.65
营业外支出|12,479,143.55|7,600,503.27|64.19|12,476,039.66|7,289,711.30|71.15
利润总额|946,106,634.31|307,785,659.11|207.39|792,797,414.44|305,074,752.98|159.87
所得税费用|230,960,789.45|72,103,021.42|220.32|191,756,454.08|66,522,610.86|188.26
净利润|715,145,844.86|235,682,637.69|203.44|601,040,960.36|238,552,142.12|151.95
归属于母公司股东的净利润|709,811,700.41|231,780,216.69|206.24|||
少数股东损益|5,334,144.45|3,902,421.00|36.69|||
其他综合收益的税后净额|69,467,266.47|42,047,019.25|65.21|69,467,266.46|39,745,814.41|74.78
归属母公司所有者的其他综合收益的税后净额|69,467,266.47|42,047,019.25|65.21|||
其他权益工具投资公允价值变动|-25,310,780.63|0.00|不适用|-25,310,780.64|0.00|不适用
权益法下可转损益的其他综合收益|0.00|-12,944,456.16|不适用|0.00|-12,944,456.16|不适用
可供出售金融资产公允价值变动损益|0.00|54,991,475.41|-100.00|0.00|52,690,270.57|-100.00
其他债权投资公允价值变动|70,905,468.24|0.00|不适用|70,905,468.24|0.00|不适用
其他债权投资信用损失准备|23,872,578.86|0.00|不适用|23,872,578.86|0.00|不适用
综合收益总额|784,613,111.33|277,729,656.94|182.51|670,508,226.82|278,297,956.53|140.93
归属于母公司所有者的综合收益总额|779,278,966.88|273,827,235.94|184.59|||
归属于少数股东的综合收益总额|5,334,144.45|3,902,421.00|36.69|||
基本每股收益|0.22|0.07|214.29|0.18|0.08|125.00
page|23
稀释每股收益|0.22|0.07|214.29|0.18|0.08|125.00
三、现金流量表项目||||||
经营活动产生的现金流量净额|972,557,930.40|568,614,400.07||71.04  1,035,601,351.06|393,463,916.34|163.20
投资活动产生的现金流量净额|-190,415,457.67||-307,965,208.17  不适用|-309,525,405.17|-382,031,689.23|不适用
筹资活动产生的现金流量净额|3,068,756,591.84||-557,447,766.80  不适用  3,095,699,471.95||-349,348,858.87|不适用
汇率变动对现金及现金等价物的影响|582,528.04|1,521,878.91|-61.72|582,528.04|1,521,878.91|-61.72
现金及现金等价物净增加额|3,851,481,592.61||-295,276,695.99  不适用  3,822,357,945.88||-336,394,752.85|不适用
期末现金及现金等价物余额||11,693,039,910.11  7,841,558,317.50||49.12 11,108,702,337.29  7,286,344,391.41||52.46
