page|121
资本公积|注释37||6,301,860,583.46           6,330,622,817.68
其他综合收益|注释38||-872,349.97              12,549,125.88
盈余公积|注释39||908,512,430.25             838,358,247.79
一般风险准备|注释40||1,534,245,856.08           1,441,518,813.40
未分配利润|注释41||295,251,945.46             102,780,913.15
归属母公司股东权益合计|||13,681,883,165.28          13,368,714,617.90
少数股东权益|||462,196,758.12             817,761,472.61
股东权益合计||14,144,079,923.40|14,186,476,090.51
负债和股东权益总计||53,748,323,524.71|52,376,875,557.00
page|123
项     目|附注六|2021年度|2020年度
一、营业总收入|||4,420,848,497.96         3,103,301,696.87
利息净收入|注释42||138,347,509.79            101,097,703.29
其中：利息收入|||1,017,022,199.16            959,869,249.40
利息支出|||878,674,689.37            858,771,546.11
手续费及佣金净收入|注释43||1,636,808,462.51          1,172,198,286.83
其中：经纪业务手续费净收入|||845,736,024.69            790,645,044.22
投资银行业务手续费净收入|||635,907,867.58            206,756,722.44
资产管理业务手续费净收入|||37,289,783.89             47,316,049.98
投资收益（损失以“－”号填列）|注释44||588,394,946.32            606,652,804.47
其中：对联营企业和合营企业的投资收益|||52,636,085.81             53,783,145.31
公允价值变动收益（损失以“－”号填列）|注释45||489,485,981.10            -48,524,176.45
汇兑收益（损失以“－”号填列）|||1,578,376.60             -3,348,221.20
其他业务收入|注释46||1,557,032,891.52          1,264,503,482.85
资产处置收益（损失以“-”号填列）|注释47||69,744.36                -20,777.16
其他收益|注释48||9,130,585.76             10,742,594.24
二、营业总支出|||3,710,316,417.23         2,954,485,813.12
税金及附加|注释49||22,031,146.36             19,375,311.17
业务及管理费|注释50||1,803,962,502.07          1,334,084,832.77
信用减值损失|注释51||373,913,233.39            344,960,999.30
其他资产减值损失|注释52||2,752,382.99             31,841,326.55
其他业务成本|注释53||1,507,657,152.42          1,224,223,343.33
三、营业利润（亏损以“-”号填列）|||710,532,080.73           148,815,883.75
加：营业外收入|注释54||18,736,381.72              5,860,453.04
减：营业外支出|注释55||11,053,100.46             10,645,944.64
四、利润总额（亏损以“-”号填列）|||718,215,361.99           144,030,392.15
减：所得税费用|注释56||167,195,492.71             41,911,301.78
五、净利润（净亏以“-”号填列）|||551,019,869.28           102,119,090.37
（一）按经营持续性分类|||
持续经营净利润（净亏以“-”号填列）|||551,019,869.28            102,119,090.37
终止经营净利润（净亏以“-”号填列）|||
（二）按所有权归属分类|||
归属于母公司所有者的净利润|||513,210,337.25            104,302,038.78
少数股东损益|||37,809,532.03             -2,182,948.41
六、其他综合收益的税后净额||-13,421,475.85|-23,994,465.35
归属于母公司所有者的其他综合收益的税后净额|||-13,421,475.85            -23,994,465.35
（一）不能重分类进损益的其他综合收益|||
（二）将重分类进损益的其他综合收益|||-13,421,475.85            -23,994,465.35
1.权益法下可转损益的其他综合收益|||-2,405,906.43                181,829.12
2.其他债权投资公允价值变动|||2,509,789.28            -59,904,500.70
3.其他债权投资信用损失准备|||-666,965.37             53,080,728.55
4.外币财务报表折算差额|||-12,858,393.33            -17,352,522.32
归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||537,598,393.43            78,124,625.02|
归属于母公司所有者的综合收益总额|||499,788,861.40             80,307,573.43
归属于少数股东的综合收益总额|||37,809,532.03             -2,182,948.41
八、每股收益：|||
（一）基本每股收益|||0.11                      0.02
（二）稀释每股收益|||0.11                      0.02
page|124
项     目|附注六|2021年度|2020年度
一、经营活动产生的现金流量：|||
收取利息、手续费及佣金的现金|||2,984,204,762.72           2,702,035,174.80
拆入资金净增加额|||1,330,000,000.00
回购业务资金净增加额|||3,480,155,509.95
返售业务资金净减少额|||908,351,491.46             700,025,363.10
代理买卖证券收到的现金净额|||2,016,567,261.23           1,660,163,609.91
收到其他与经营活动有关的现金|注释58||2,016,609,365.55           1,506,857,134.57
经营活动现金流入小计||7,925,732,880.96|11,379,236,792.33
交易性金融工具净增加额|||1,336,048,752.31           4,504,583,697.73
拆入资金净减少额||790,000,000.00|
回购业务资金净减少额||1,652,086,917.38|
融出资金净增加额|||738,220,210.20           1,622,093,003.66
支付利息、手续费及佣金的现金|||768,512,368.10             688,281,627.02
支付给职工以及为职工支付的现金|||1,139,438,589.33             850,448,240.88
支付的各项税费|||471,594,792.58             244,373,933.87
支付其他与经营活动有关的现金|注释58||1,986,245,160.35           2,098,653,166.86
经营活动现金流出小计||8,882,146,790.25|10,008,433,670.02
经营活动产生的现金流量净额|注释59|-956,413,909.29|1,370,803,122.31
二、投资活动产生的现金流量：|||
收回投资所收到的现金||1,326,111,871.62|
取得投资收益收到的现金|||127,650,667.04              60,584,894.64
处置固定资产、无形资产和其他长期资产收回的现金净额|||1,284,228.66                 219,869.46
处置子公司及其他营业单位收到的现金净额||162,261,400.00|
投资活动现金流入小计||1,617,308,167.32|60,804,764.10
购建固定资产、无形资产和其他长期资产支付的现金|||220,635,769.29             117,362,199.51
投资支付的现金|||1,278,882,226.50
投资活动现金流出小计||220,635,769.29|1,396,244,426.01
投资活动产生的现金流量净额||1,396,672,398.03|-1,335,439,661.91
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||3,644,663,940.00
取得借款收到的现金|||10,000,000.00             689,174,336.00
发行债券收到的现金|||11,941,017,000.00           6,117,939,031.63
筹资活动现金流入小计||11,951,017,000.00|10,451,777,307.63
偿还债务支付的现金|||9,983,292,940.64           8,366,714,808.43
分配股利、利润或偿付利息支付的现金|||678,187,191.34             476,776,544.21
其中：子公司支付给少数股东的股利、利润|||22,110,119.80               6,634,020.00
支付其他与筹资活动有关的现金|注释58||173,628,888.72             133,454,629.51
筹资活动现金流出小计||10,835,109,020.70|8,976,945,982.15
筹资活动产生的现金流量净额||1,115,907,979.30|1,474,831,325.48
四、汇率变动对现金及现金等价物的影响||1,578,376.60|-3,348,221.20
五、现金及现金等价物净增加额|注释59|1,557,744,844.64|1,506,846,564.68
加：期初现金及现金等价物余额|||13,312,322,291.24          11,805,475,726.56
六、期末现金及现金等价物余额||14,870,067,135.88|13,312,322,291.24
