page|161
资                产|附注|2020 年 12 月 31 日 合并|2019 年 12 月 31 日 合并|2020 年 12 月 31 日 公司|2019 年 12 月 31 日 公司
一、营业收入|四(45)、十七(5)|252,295,666|269,228,900|171,495,259|195,032,300
减：营业成本|四(45)、十七(5)|(224,577,397)|(230,117,385)|(163,974,211)|(186,208,049)
税金及附加|四(46)|(972,775)|(1,060,907)|(55,129)|(125,816)
销售费用|四(47)|(25,676,511)|(33,532,018)|(5,236,334)|(7,453,349)
管理费用|四(48)|(4,659,720)|(4,945,032)|(1,364,514)|(1,493,063)
研发费用|四(49)|(2,263,933)|(3,267,610)|(434,451)|(367,934)
财务费用净额|四(50)|(1,965,424)|(2,237,420)|(1,156,007)|(1,674,114)
其中：利息费用||(2,137,715)|(1,785,808)|(1,553,744)|(1,386,519)
利息收入||562,209|921,612|248,603|423,041
加：投资收益|四(55)、十七(6)|2,213,662|21,791,411|1,825,076|6,260,272
其中：对联营企业和合营企业的投资收益||14,118|264,998|743,780|446,426
以摊余成本计量的金融资产终止确认损益||-|-|(76,286)|-
公允价值变动收益/(损失)|四(56)|467,280|216,276|(61,352)|(147,539)
信用减值损失|四(23)、四(53)|(411,638)|(606,033)|4,861|(54,766)
资产减值损失|四(23)、四(52)|(2,187,961)|(1,120,029)|(396,644)|(161,659)
资产处置收益/(亏损)|四(57)|35,646|(16,473)|17,747|(616)
其他收益|四(54)|839,297|338,040|110,684|11,020
|||||
二、营业(亏损)/利润||(6,863,808)|14,671,720|774,985|3,616,687
加：营业外收入|四(58)|425,075|251,324|29,677|46,458
减：营业外支出|四(59)|(461,908)|(328,447)|(96,246)|(15,882)
|||||
三、(亏损)/利润总额||(6,900,641)|14,594,597|708,416|3,647,263
减：所得税费用|四(60)|1,542,775|(5,274,810)|121,160|(2,106,192)
|||||
四、净(亏损)/利润||(5,357,866)|9,319,787|829,576|1,541,071
按经营持续性分类|||||
持续经营净亏损||(5,357,866)|(1,746,350)|-|-
终止经营净利润||-|11,066,137|-|-
按所有权归属分类|||||
归属于本公司股东的净(亏损)/利润|四(44)|(4,274,696)|9,842,955|829,576|1,541,071
少数股东损益|六(1)(b)|(1,083,170)|(523,168)|-|-
|||||
五、其他综合收益的税后净额|四(42)|(1,652,226)|274,015|(476,229)|125,831
归属于本公司股东的其他综合收益的税后净额||(1,652,332)|211,279|(476,229)|125,831
将重分类进损益的其他综合收益||(1,160,456)|392,573|(18,168)|20,478
权益法下可转损益的其他综合收益||(18,168)|43,182|(18,168)|20,478
其他债权投资信用减值准备||4,607|(4,607)|-|-
外币财务报表折算差额||(1,146,895)|353,998|-|-
不能重分类进损益的其他综合收益||(491,876)|(181,294)|(458,061)|105,353
权益法下不能转损益的其他综合收益||-|5,384|-|5,384
其他权益工具投资公允价值变动||(491,876)|(186,678)|(458,061)|99,969
归属于少数股东的其他综合收益的税后净额||106|62,736|-|-
|||||
六、综合收益总额||(7,010,092)|9,593,802|353,347|1,666,902
归属于本公司股东的综合收益总额||(5,927,028)|10,054,234|353,347|1,666,902
归属于少数股东的综合收益总额||(1,083,064)|(460,432)|-|-
|||||
七、每股收益|||||
基本每股收益(人民币元)|四(61)|-0.46|1.07|不适用|不适用
稀释每股收益(人民币元)|四(61)|-0.46|1.07|不适用|不适用
page|164
项                目|附注|2020 年度 合并|2019 年度 合并|2020 年度 公司|2019 年度 公司
|||||
一、经营活动产生的现金流量|||||
销售商品、提供劳务收到的现金||303,799,735|296,770,982|170,515,312|209,021,988
收到其他与经营活动有关的现金|四(62)(a)|3,013,867|3,720,348|23,760,016|29,036,030
经营活动现金流入小计||306,813,602|300,491,330|194,275,328|238,058,018
购买商品、接受劳务支付的现金||(270,819,558)|(271,358,699)|(156,239,981)|(190,941,832)
支付给职工以及为职工支付的现金||(12,082,019)|(16,804,626)|(1,116,455)|(1,412,059)
支付的各项税费||(4,159,064)|(5,942,814)|(342,270)|(585,864)
支付其他与经营活动有关的现金|四(62)(b)|(21,374,807)|(24,249,746)|(35,817,908)|(52,717,820)
经营活动现金流出小计||(308,435,448)|(318,355,885)|(193,516,614)|(245,657,575)
经营活动(使用)/产生的现金流量净额|四(63)(a)|(1,621,846)|(17,864,555)|758,714|(7,599,557)
|||||
二、投资活动产生的现金流量|||||
收回投资收到的现金||39,488,493|89,732,059|35,354,221|65,037,459
取得投资收益所收到的现金||2,379,951|3,640,102|866,117|857,330
处置固定资产、无形资产和其他长期资产收回的现金净额||134,951|131,774|24,008|2,287
处置子公司所收到/(支付)的现金净额|四(63)(b)|1,721,506|(3,728,075)|200,000|4,269,173
投资活动现金流入小计||43,724,901|89,775,860|36,444,346|70,166,249
购建固定资产、无形资产和其他长期资产支付的现金||(5,767,084)|(9,164,260)|(124,565)|(304,266)
投资支付的现金||(33,313,138)|(97,179,888)|(27,189,943)|(64,132,272)
取得子公司支付的现金净额|四(63)(b)|(67,409)|(4,302,822)|(637,574)|(2,033,854)
投资活动现金流出小计||(39,147,631)|(110,646,970)|(27,952,082)|(66,470,392)
投资活动产生/(使用)的现金流量净额||4,577,270|(20,871,110)|8,492,264|3,695,857
|||||
三、筹资活动产生的现金流量|||||
吸收投资收到的现金||3,000|10,546,305|-|-
其中：子公司吸收少数股东投资收到的现金||3,000|10,546,305|-|-
取得借款收到的现金||53,545,974|67,389,340|22,903,093|27,145,791
发行债券收到的现金||499,700|4,789,850|499,700|-
收到其他与筹资活动有关的现金|四(62)(c )|15,222,895|8,783,379|2,036,858|-
筹资活动现金流入小计||69,271,569|91,508,874|25,439,651|27,145,791
偿还债务支付的现金||(57,748,399)|(51,613,003)|(34,439,073)|(21,520,501)
分配股利、利润或偿付利息支付的现金||(2,700,801)|(2,989,531)|(1,992,538)|(2,743,296)
其中：子公司支付给少数股东的股利、利润||(30,870)|(14,266)|-|-
支付其他与筹资活动有关的现金|四(62)(d)|(18,063,437)|(10,705,101)|(767,483)|(1,308,725)
筹资活动现金流出小计||(78,512,637)|(65,307,635)|(37,199,094)|(25,572,522)
筹资活动(使用)/产生的现金流量净额||(9,241,068)|26,201,239|(11,759,443)|1,573,269
|||||
四、汇率变动对现金及现金等价物的影响||(70,386)|233,483|-|19,844
|||||
五、现金及现金等价物净减少额|四(63)(a)|(6,356,030)|(12,300,943)|(2,508,465)|(2,310,587)
加：年初现金及现金等价物余额|四(63)(a)|17,919,907|30,220,850|10,999,335|13,309,922
|||||
六、年末现金及现金等价物余额|四(63)(c )|11,563,877|17,919,907|8,490,870|10,999,335
