page|166
资        产|附注|2019 年 12 月 31 日 合并|2018 年 12 月 31 日 合并|2019 年 12 月 31 日 公司|2018 年 12 月 31 日 公司
应付票据|四(28)|26,158,849|27,235,403|18,694,516|18,060,177
应付账款|四(29)|44,380,475|19,835,614|84,632,541|44,965,735
预收款项|四(30)|7,157,577|1,966,192|51,780,639|45,525,496
应付职工薪酬|四(31)|1,386,161|1,329,604|135,790|156,657
应交税费|四(32)|1,713,287|2,085,856|196,239|585,104
其他应付款|四(33)|12,612,303|12,566,104|5,973,231|11,423,849
一年内到期的非流动负债|四(34)|7,662,708|3,536,432|7,458,690|3,514,902
预计负债|四(39)|151,177|-|10|-
其他流动负债|四(35)|1,079,223|823,451|9,764|13,639
流动负债合计||121,256,981|93,696,656|186,850,720|136,016,169
|||||
非流动负债|||||
长期借款|四(36)|7,720,895|4,813,747|2,083,000|4,775,900
应付债券|四(37)|8,488,802|9,974,683|8,488,802|9,974,683
长期应付款|四(38)|2,440,760||- 380,000|-
预计负债|四(39)|-|86,711|-|1,485
递延收益|四(40)|2,231,956|2,084,285|382,029|657,237
长期应付职工薪酬||-|134,133|-|-
递延所得税负债|四(25)|7,567,680|394,722|1,847,311|-
其他非流动负债|四(41)|3,158|71,466|-|-
非流动负债合计||28,453,251|17,559,747|13,181,142|15,409,305
|||||
负债合计||149,710,232|111,256,403|200,031,862|151,425,474
|||||
股东权益|||||
股本|四(42)|9,310,040|9,310,040|9,310,040|9,310,040
资本公积|四(43)|37,249,004|38,288,361|37,150,905|32,415,034
减：库存股|四(44)|(1,899,961)|(1,000,000)|(1,899,961)|(1,000,000)
其他综合收益|四(45)|197,575|299,958|(618,037)|(453,859)
盈余公积|四(46)|1,748,672|1,507,827|1,748,672|1,507,827
一般风险准备||38,699|341,018|38,699|-
未分配利润|四(47)|41,277,886|32,169,894|8,257,969|7,231,364
归属于本公司股东权益合计||87,921,915|80,917,098|53,988,287|49,010,406
少数股东权益|六(1)(b)|(777,102)|7,293,701|-|-
股东权益合计||87,144,813|88,210,799|53,988,287|49,010,406
|||||
负债及股东权益总计||236,855,045|199,467,202|254,020,149|200,435,880
page|168
项        目|附注|2019 年度 合并|2018 年度 合并|2019 年度 公司|2018 年度 公司
一、营业收入|四(48)、十七(5)|269,228,900|244,956,573|195,032,300|197,450,983
减：营业成本|四(48)、十七(5)|(230,117,385)|(208,216,606)|(186,208,049)|(188,708,891)
税金及附加|四(49)|(1,060,907)|(894,337)|(125,816)|(111,129)
销售费用|四(50)|(33,532,018)|(26,066,677)|(7,453,349)|(5,688,606)
管理费用|四(51)|(4,945,032)|(5,200,684)|(1,493,063)|(1,982,370)
研发费用|四(52)|(3,267,610)|(2,261,875)|(367,934)|(228,290)
财务费用净额|四(53)|(2,237,420)|(1,234,626)|(1,674,114)|(452,791)
其中：利息费用||(1,785,808)|(1,376,874)|(1,386,519)|(1,119,931)
利息收入||921,612|1,062,271|423,041|625,788
加：投资收益|四(58)、十七(6)|21,791,411|13,990,648|6,260,272|2,437,214
其中：对联营企业和合营企业的投资收益||264,998|296,717|446,426|41,743
公允价值变动收益/(损失)|四(59)|216,276|292,479|(147,539)|38,368
信用减值损失|四(56)|(606,033)|—|(54,766)|—
资产减值损失|四(26)、四(55)|(1,120,029)|(2,059,468)|(161,659)|(409,033)
资产处置亏损|四(60)|(16,473)|(33,133)|(616)|(1,609)
其他收益|四(57)|338,040|386,256|11,020|14,556
|||||
二、营业利润||14,671,720|13,658,550|3,616,687|2,358,402
加：营业外收入|四(61)|251,324|505,693|46,458|20,872
减：营业外支出|四(62)|(328,447)|(218,788)|(15,882)|(28,080)
|||||
三、利润总额||14,594,597|13,945,455|3,647,263|2,351,194
减：所得税费用|四(63)|(5,274,810)|(1,302,907)|(2,106,192)|(560,073)
|||||
四、净利润||9,319,787|12,642,548|1,541,071|1,791,121
按经营持续性分类|||||
持续经营净(亏损)/利润|十一|(1,746,350)|13,681,901|-|-
终止经营净利润/(亏损)|十一|11,066,137|(1,039,353)|-|-
按所有权归属分类|||||
归属于本公司股东的净利润|四(46)|9,842,955|13,327,559|1,541,071|1,791,121
少数股东损益|六(1)(b)|(523,168)|(685,011)|-|-
|||||
五、其他综合收益的税后净额|四(45)|274,015|(11,656,982)|125,831|(659,402)
归属于本公司股东的其他综合收益的税后净额||211,279|(11,745,738)|125,831|(659,402)
将重分类进损益的其他综合收益||392,573|(11,745,738)|20,478|(659,402)
权益法下可转损益的其他综合收益||43,182|(2,498)|20,478|(2,498)
可供出售金融资产公允价值变动损益||—|(13,401,398)|—|(656,904)
其他债权投资信用减值准备||(4,607)|—|-|—
外币财务报表折算差额||353,998|1,658,158|-|-
不能重分类进损益的其他综合收益||(181,294)|—|105,353|—
权益法下不能转损益的其他综合收益||5,384|—|5,384|—
其他权益工具投资公允价值变动||(186,678)|—|99,969|—
归属于少数股东的其他综合收益的税后净额||62,736|88,756|-|-
六、综合收益总额||9,593,802|985,566|1,666,902|1,131,719
归属于本公司股东的综合收益总额||10,054,234|1,581,821|1,666,902|1,131,719
归属于少数股东的综合收益总额||(460,432)|(596,255)|-|-
七、每股收益|||||
基本每股收益(人民币元)|四(64)|1.07|1.44|不适用|不适用
稀释每股收益(人民币元)|四(64)|1.07|1.44|不适用|不适用
page|169
项        目|附注|2019 年度 合并|2018 年度 合并|2019 年度 公司|2018 年度 公司
一、经营活动产生的现金流量|||||
销售商品、提供劳务收到的现金||296,770,982|283,101,450|209,021,988|189,849,079
收到其他与经营活动有关的现金|四(65)(a)|3,720,348|3,308,653|29,036,030|13,340,144
经营活动现金流入小计||300,491,330|286,410,103|238,058,018|203,189,223
购买商品、接受劳务支付的现金||(271,358,699)|(259,970,711)|(190,941,832)|(178,786,288)
支付给职工以及为职工支付的现金||(16,804,626)|(11,745,364)|(1,412,059)|(1,300,801)
支付的各项税费||(5,942,814)|(4,517,304)|(585,864)|(455,582)
支付其他与经营活动有关的现金|四(65)(b)|(24,249,746)|(24,051,191)|(52,717,820)|(41,064,630)
经营活动现金流出小计||(318,355,885)|(300,284,570)|(245,657,575)|(221,607,301)
经营活动使用的现金流量净额|四(66)(a)|(17,864,555)|(13,874,467)|(7,599,557)|(18,418,078)
|||||
二、投资活动产生的现金流量|||||
收回投资收到的现金||89,732,059|213,244,735|65,037,459|176,158,481
取得投资收益所收到的现金||3,640,102|11,938,644|857,330|825,033
处置固定资产、无形资产和其他长期资产收回的现金净额||131,774|36,184|2,287|2,135
处置子公司所(支付)/收到的现金净额|四(66)(b)|(3,728,075)|1,145,130|4,269,173|964,305
收到其他与投资活动有关的现金||-|131,449|-|-
投资活动现金流入小计||89,775,860|226,496,142|70,166,249|177,949,954
购建固定资产、无形资产和其他长期资产支付的现金||(9,164,260)|(7,431,661)|(304,266)|(222,936)
投资支付的现金||(97,179,888)|(221,922,830)|(64,132,272)|(176,592,200)
取得子公司支付的现金净额|四(66)(b)|(4,302,822)|(151,815)|(2,033,854)|-
投资活动现金流出小计||(110,646,970)|(229,506,306)|(66,470,392)|(176,815,136)
投资活动(使用)/产生的现金流量净额||(20,871,110)|(3,010,164)|3,695,857|1,134,818
|||||
三、筹资活动产生的现金流量|||||
吸收投资收到的现金||10,546,305|5,304,244|-|-
其中：子公司吸收少数股东投资收到的现金||10,546,305|5,304,244|-|-
取得借款收到的现金||67,389,340|43,396,110|27,145,791|19,020,745
发行债券收到的现金||4,789,850|9,968,505|-|9,968,505
收到其他与筹资活动有关的现金|四(65)(c)|8,783,379|5,090,724|-|499,805
筹资活动现金流入小计||91,508,874|63,759,583|27,145,791|29,489,055
偿还债务支付的现金||(51,613,003)|(26,202,665)|(21,520,501)|(8,540,941)
分配股利、利润或偿付利息支付的现金||(2,989,531)|(2,017,294)|(2,743,296)|(1,778,252)
其中：子公司支付给少数股东的股利、利润||(14,266)|(1,718)|-|-
支付其他与筹资活动有关的现金|四(65)(d)|(10,705,101)|(13,005,549)|(1,308,725)|(1,000,000)
筹资活动现金流出小计||(65,307,635)|(41,225,508)|(25,572,522)|(11,319,193)
筹资活动产生的现金流量净额||26,201,239|22,534,075|1,573,269|18,169,862
|||||
四、汇率变动对现金及现金等价物的影响||233,483|1,016,399|19,844|54,716
|||||
五、现金及现金等价物净(减少)/增加额|四(66)(c)|(12,300,943)|6,665,843|(2,310,587)|941,318
加：年初现金及现金等价物余额|四(66)(c)|30,220,850|23,555,007|13,309,922|12,368,604
|||||
六、年末现金及现金等价物余额|四(66)(c)|17,919,907|30,220,850|10,999,335|13,309,922
