page|115
卖出回购金融资产款|五、23||17,560,775,250.71      17,560,775,250.71      20,434,918,441.37||20,434,918,441.37
吸收存款||五、24   305,654,960,111.10     305,931,327,243.33     286,362,601,740.92     286,600,988,726.63|||
应付职工薪酬|五、25|83,826,331.22|60,912,240.45|83,589,042.10|57,420,960.55
应交税费|五、26|427,368,367.43|421,172,884.56|402,017,144.19|390,861,852.61
应付债券|五、27|15,798,990,507.62      15,798,990,507.62||6,500,941,786.14|6,500,941,786.14
租赁负债|五、28|108,514,512.15|105,782,127.90||
预计负债|五、29|211,748,826.16|211,748,826.16|203,575,611.34|203,575,611.34
递延所得税负债|五、17|296,752,914.94|296,752,914.94|173,639,364.35|173,639,364.35
其他负债|五、30|1,322,200,492.27|644,418,652.70|1,106,806,724.52|577,454,830.60
负债合计||371,332,410,709.58     367,747,713,099.89     334,887,262,479.43     331,108,338,731.20|||
股东权益：|||||
股本|五、31|5,126,127,451.00|5,126,127,451.00|5,126,127,451.00|5,126,127,451.00
其他权益工具|五、32|4,998,730,566.03|4,998,730,566.03|4,998,730,566.03|4,998,730,566.03
其中：永续债||4,998,730,566.03|4,998,730,566.03|4,998,730,566.03|4,998,730,566.03
资本公积|五、33|4,159,704,590.69|4,159,704,590.69|4,159,147,920.38|4,159,147,920.38
减：库存股|||||
其他综合收益|五、34|377,055,712.65|377,055,712.65|-166,691,435.93|-166,691,435.93
盈余公积|五、35|1,701,657,070.40|1,701,657,070.40|1,547,960,499.37|1,547,960,499.37
一般风险准备|五、36|5,103,500,046.32|5,103,500,046.32|4,473,500,046.32|4,473,500,046.32
未分配利润|五、37|7,244,885,164.62|7,099,606,038.66|7,013,472,334.83|6,893,904,546.44
归属于母公司股东权益合计|||28,711,660,601.71      28,566,381,475.75      27,152,247,382.00||27,032,679,593.61
少数股东权益||296,499,617.64|-|279,711,858.93|-
股东权益合计||29,008,160,219.35      28,566,381,475.75      27,431,959,240.93|||27,032,679,593.61
负债及股东权益总计||400,340,570,928.93     396,314,094,575.64     362,319,221,720.36     358,141,018,324.81|||
page|117
||2021 年度|||
编制单位：兰州银行股份有限公司|||||单位：人民币元
||本期金额||上期金额|
项      目|附注||||
||合并|公司|合并|公司
一、营业收入|||||
||7,836,084,847.43|7,635,900,387.77|7,303,663,453.41|7,042,991,802.72
利息净收入|五、38||||
||6,012,545,295.18|5,849,086,962.70|4,790,434,752.84|4,574,509,702.23
利息收入|||||
||18,367,967,366.21|18,059,976,556.47|15,541,187,329.81|15,199,442,443.30
利息支出|||||
||12,355,422,071.03|12,210,889,593.77|10,750,752,576.97|10,624,932,741.07
手续费及佣金净收入|五、39||||
||383,790,430.33|317,116,482.50|224,480,132.85|155,805,012.56
手续费及佣金收入|||||
||458,970,056.96|392,213,611.97|276,785,269.81|208,066,336.05
手续费及佣金支出|||||
||75,179,626.63|75,097,129.47|52,305,136.96|52,261,323.49
其他收益|五、40||||
||3,674,763.07|3,622,583.72|245,419.30|173,939.51
投资收益（损失以“-”号填列）|五、41||||
||1,412,457,258.30|1,442,457,258.30|1,197,619,434.39|1,221,619,434.39
其中：对联营企业和合营企业投资收益|||||
||-25,497,758.72|-25,497,758.72|14,484,468.04|14,484,468.04
以摊余成本计量的金融资产终止确认收益|||||
||22,927,820.75|22,927,820.75||
汇兑收益（损失以“-”号填列）|五、42||||
||6,419,231.12|6,419,231.12|1,676,278.01|1,676,278.01
净敞口套期收益（损失以“-”号填列）|||||
公允价值变动收益（损失以“-”号填列）|五、43||||
||-3,985,851.41|-3,985,851.41|273,130,352.66|273,130,352.66
其他业务收入|五、44||||
||11,609,276.62|11,609,276.62|7,809,341.19|7,809,341.19
资产处置收益（损失以“-”号填列）|五、46||||
||9,574,444.22|9,574,444.22|808,267,742.17|808,267,742.17
二、营业支出|||||
||6,273,145,824.34|6,151,877,319.75|5,727,478,399.04|5,559,937,332.38
税金及附加|五、47||||
||116,143,074.61|113,932,991.30|123,157,169.96|121,246,761.81
业务及管理费|五、48||||
||2,274,773,270.43|2,225,722,833.64|2,153,964,023.21|2,109,693,487.10
信用减值损失|五、49||||
||3,836,147,936.05|3,766,139,951.56|3,428,125,508.93|3,306,765,386.53
其他资产减值损失|五、50||||
||44,100,000.00|44,100,000.00|20,321,855.86|20,321,855.86
其他业务成本|五、44||||
||1,981,543.25|1,981,543.25|1,909,841.08|1,909,841.08
三、营业利润(亏损以“-”号填列）|||||
||1,562,939,023.09|1,484,023,068.02|1,576,185,054.37|1,483,054,470.34
加：营业外收入|五、51||||
||10,751,476.03|10,744,609.29|3,359,119.16|3,359,119.16
减：营业外支出|五、52||||
||31,364,710.53|31,363,345.07|17,083,909.47|17,072,725.77
四、利润总额(亏损总额以“-”号填列）|||||
||1,542,325,788.59|1,463,404,332.24|1,562,460,264.06|1,469,340,863.73
减：所得税费用|五、53||||
||-60,514,919.82|-76,937,279.89|29,792,570.48|12,216,405.08
五、净利润(净亏损以“-”号填列）|||||
||1,602,840,708.41|1,540,341,612.13|1,532,667,693.58|1,457,124,458.65
（一）按经营持续性分类：|||||
其中：持续经营净利润（净亏损以“-”号填列）|||||
||1,602,840,708.41|1,540,341,612.13|1,532,667,693.58|1,457,124,458.65
终止经营净利润（净亏损以“-”号填列）|||||
（二）按所有权归属分类：|||||
其中：归属于母公司股东的净利润（净亏损以“-”号填列）|||||
||1,566,052,949.70|1,540,341,612.13|1,492,850,399.61|1,457,124,458.65
少数股东损益（净亏损以“-”号填列）|||||
||36,787,758.71||39,817,293.97|
六、其他综合收益的税后净额|||||
||543,747,148.58|543,747,148.58|-289,405,104.41|-289,405,104.41
归属于母公司股东的其他综合收益的税后净额|||||
||543,747,148.58|543,747,148.58|-289,405,104.41|-289,405,104.41
（一）不能重分类进损益的其他综合收益|||||
1、重新计量设定受益计划变动额|||||
2、权益法下不能转损益的其他综合收益|||||
3、其他权益工具投资公允价值变动|||||
4、企业自身信用风险公允价值变动|||||
5、其他|||||
（二）将重分类进损益的其他综合收益|||||
||543,747,148.58|543,747,148.58|-289,405,104.41|-289,405,104.41
1、权益法下可转损益的其他综合收益|||||
2、其他债权投资公允价值变动计入其他综合收益的金额|||||
||510,225,194.28|510,225,194.28|-252,248,699.40|-252,248,699.40
3、转贴现公允价值变动计入其他综合收益的金额|||||
||33,419,124.24|33,419,124.24|-27,604,205.81|-27,604,205.81
4、其他债权投资信用损失准备|||||
||308,636.85|308,636.85|-8,561,767.22|-8,561,767.22
5、转贴现减值准备|||||
||-205,806.79|-205,806.79|-990,431.98|-990,431.98
6、金融资产重分类计入其他综合收益的金额|||||
7、持有至到期投资重分类为可供出售金融资产损益|||||
8、其他|||||
归属于少数股东的其他综合收益的税后净额|||||
七、综合收益总额|||||
||2,146,587,856.99|2,084,088,760.71|1,243,262,589.17|1,167,719,354.24
归属于母公司股东的综合收益总额|||||
||2,109,800,098.28|2,084,088,760.71|1,203,445,295.20|1,167,719,354.24
归属于少数股东的综合收益总额|||||
||36,787,758.71||39,817,293.97|
八、每股收益|||||
（一）基本每股收益|||||
||0.26|-|0.29|-
（二）稀释每股收益|||||
|||-||-
page|118
项    目|附注|本期金额||上期金额|
||合并|公司|合并|公司
一、经营活动产生的现金流量：|||||
客户存款和同业存放款项净增加额||29,698,457,552.24|30,242,549,280.48|12,494,767,642.39|12,508,842,660.64
融资租赁资产净减少额||40,346,816.67|-||
向中央银行借款净增加额||9,846,404,662.60|9,846,404,662.60|6,471,112,357.14|6,471,112,357.14
存放中央银行和同业款项净减少额||4,791,553,372.10|4,791,553,372.10||
向其他金融机构拆入资金净增加额||62,220,000.00|||
卖出回购金融资产净增加额||||1,158,552,973.65|1,158,552,973.65
为交易目的持有的金融资产净减少额||728,525,571.26|728,525,571.26|719,576,073.84|719,576,073.84
为交易目的持有的金融负债净增加额||29,960,160.00|29,960,160.00||
收取利息、手续费及佣金的现金||20,369,224,317.50|19,974,535,666.24|17,408,589,805.22|16,999,169,830.70
收到其他与经营活动有关的现金|五、54||||
||335,974,586.61|273,245,840.17|289,985,219.79|289,406,838.00
经营活动现金流入小计||65,902,667,038.98|65,886,774,552.85|38,542,584,072.03|38,146,660,733.97
客户贷款及垫款净增加额||24,920,922,959.53|24,920,922,959.53|22,151,225,244.27|22,531,225,244.27
融资租赁资产净增加额||||6,441,446.01|
存放中央银行和同业款项净增加额||||1,954,298,137.70|2,054,298,137.70
向中央银行借款净减少额|||||
向其他金融机构拆入资金净减少额|||137,780,000.00|379,140,000.00|379,140,000.00
向其他金融机构拆出资金净增加额||8,480,000,000.00|8,660,000,000.00|4,855,730,000.00|4,798,730,000.00
卖出回购金融资产净减少额||2,876,329,201.44|2,876,329,201.44||
买入返售金融资产净增加额||3,344,374,189.96|3,344,374,189.96|1,428,914,824.13|1,428,914,824.13
为交易目的持有的金融资产净增加额|||||
支付利息、手续费及佣金的现金||10,556,182,878.09|10,418,962,291.68|9,286,411,462.87|9,146,309,862.65
支付给职工及为职工支付的现金||1,366,836,119.95|1,329,841,809.26|1,268,639,473.06|1,247,738,370.79
支付的各项税费||1,161,980,939.51|1,115,912,295.31|1,098,181,811.90|1,043,325,666.17
支付其他与经营活动有关的现金|五、54||||
||675,392,403.99|666,599,297.69|777,082,419.73|757,019,451.86
经营活动现金流出小计||53,382,018,692.47|53,470,722,044.87|43,206,064,819.67|43,386,701,557.57
经营活动产生的现金流量净额||12,520,648,346.51|12,416,052,507.98|-4,663,480,747.64|-5,240,040,823.60
二、投资活动产生的现金流量：|||||
收回投资收到的现金||20,091,690,407.90|20,091,690,407.90|29,559,292,542.81|29,939,292,542.81
取得投资收益收到的现金||49,480,597.26|79,480,597.26|77,030,953.97|101,030,953.97
处置固定资产、无形资产和其他长期资产收回的现金净额||319,759,843.20|319,751,170.63|1,507,722,774.72|1,507,722,774.72
处置子公司及其营业单位收到的现金净额|||||
收到其他与投资活动有关的现金|||||
投资活动现金流入小计||20,460,930,848.36|20,490,922,175.79|31,144,046,271.50|31,548,046,271.50
购建固定资产、无形资产和其他长期资产支付的现金||135,507,752.73|131,722,451.92|127,327,432.98|120,767,357.04
投资支付的现金||30,285,679,132.66|30,285,679,132.66|41,282,497,229.16|41,282,497,229.16
取得子公司及其他营业单位支付的现金净额|||||
支付其他与投资活动有关的现金|||||
投资活动现金流出小计||30,421,186,885.39|30,417,401,584.58|41,409,824,662.14|41,403,264,586.20
投资活动产生的现金流量净额||-9,960,256,037.03|-9,926,479,408.79|-10,265,778,390.64|-9,855,218,314.70
三、筹资活动产生的现金流量：|||||
吸收投资收到的现金|||||
其中：子公司吸收少数股东投资收到的现金|||||
发行债券及其他权益工具收到的现金||-|-|4,998,730,566.03|4,998,730,566.03
收到其他与筹资活动有关的现金|||||
筹资活动现金流入小计||-|-|4,998,730,566.03|4,998,730,566.03
偿还债务支付的现金||2,500,000,000.00|2,500,000,000.00|1,000,000,000.00|1,000,000,000.00
分配股利、利润或偿付利息支付的现金||721,762,976.71|701,762,976.71|853,898,910.62|837,898,910.62
其中：子公司支付给少数股东的股利、利润||20,000,000.00||16,000,000.00|
支付其他与筹资活动有关的现金|五、54||||
||61,585,587.15|60,766,376.86||
筹资活动现金流出小计||3,283,348,563.86|3,262,529,353.57|1,853,898,910.62|1,837,898,910.62
筹资活动产生的现金流量净额||-3,283,348,563.86|-3,262,529,353.57|3,144,831,655.41|3,160,831,655.41
四、汇率变动对现金的影响额||-11,334,354.40|-11,334,354.40|-8,103,953.63|-8,103,953.63
五、现金及现金等价物净增加额||-734,290,608.78|-784,290,608.78|-11,792,531,436.50|-11,942,531,436.52
加：期初现金及现金等价物余额||4,020,683,126.02|3,970,683,126.00|15,813,214,562.52|15,913,214,562.52
六、期末现金及现金等价物余额||3,286,392,517.24|3,186,392,517.23|4,020,683,126.02|3,970,683,126.00
