page|162
资产|附注五|2019 年 12 月 31 日|2018 年 12 月 31 日
收回投资收到的现金||6,309,580|3,456,819
取得投资收益收到的现金||1,023,430|174,571
处置固定资产、无形资产和其他长期资产收回的现金净额||1,258,099|1,834,570
处置子公司收到的现金净额||-|23,619
收到的其他与投资活动有关的现金||95,795|659,233
投资活动现金流入小计||8,686,904|6,148,812
购建固定资产、无形资产和其他长期资产支付的现金||32,264,997|32,338,988
投资支付的现金||23,958,633|21,044,766
受限制货币资金的净增加额||1,533,440|810,057
取得子公司支付的现金净额||212,883|17,534
支付的其他与投资活动有关的现金||885,809|1,181,693
投资活动现金流出小计||58,855,762|55,393,038
投资活动产生(使用)的现金流量净额||(50,168,858)|(49,244,226)
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||51,276,449|14,945,566
其中：子公司吸收少数股东投资收到的现金||18,766,645|7,952,877
发行债券收到的现金||18,827,127|2,200,000
取得借款收到的现金||137,963,607|118,980,818
收到其他与筹资活动有关的现金|63(3)|6,507,000|4,700,000
筹资活动现金流入小计||214,574,183|140,826,384
偿还债务支付的现金||163,071,203|82,808,194
分配股利、利润或偿付利息支付的现金||16,324,940|14,106,213
其中：子公司支付给少数股东的股利||1,819,328|1,456,459
支付与其他筹资活动有关的现金|63(4)|14,980,045|-
筹资活动现金流出小计||194,376,188|96,914,407
筹资活动产生(使用)的现金流量净额||20,197,995|43,911,977
四、汇率变动对现金及现金等价物的影响||170,924|579,385
五、现金及现金等价物净增加额||10,205,899|694,997
加：年初现金及现金等价物余额|64(2)|130,087,717|129,392,720
六、年末现金及现金等价物余额|64(2)|140,293,616|130,087,717
page|166
项目|2019 年度|||||||||
|归属于母公司股东权益||||||||少数股东权益|股东权益合计
|股本|其他权益工具|资本公积|其他综合收益|专项储备|盈余公积|未分配利润|小计||
一、  上年年末余额|13,579,542|20,392,922|40,434,270|(515,059)|-|3,229,881|92,768,356|169,889,912|37,444,943|207,334,855
二、  本年增减变动金额|-|19,796,171|3,720,456|448,901|-|1,383,625|14,720,609|40,069,762|14,616,957|54,686,719
(一)  综合收益总额|-|-|-|446,984|-|-|20,197,378|20,644,362|2,400,826|23,045,188
(二)  股东投入和减少资本|-|19,796,171|3,720,456|-|-|-|-|23,516,627|14,708,804|38,225,431
1、 股东投入资本|-|-|-|-|-|-|-|-|11,974,506|11,974,506
2、 其他权益工具持有者投入和减少 (附注五、41)|-|20,185,964|(7,896)|-|-|-|-|20,178,068|-|20,178,068
3、 与少数股东的权益性交易(附注五、42)|-|-|3,338,559|-|-|-|-|3,338,559|2,734,298|6,072,857
4、 其他(附注五、42)|-|(389,793)|389,793|-|-|-|-|-|-|-
(三)  利润分配|-|-|-|-|-|1,383,625|(5,474,852)|(4,091,227)|(2,492,673)|(6,583,900)
1、 提取法定盈余公积|-|-|-|-|-|1,383,625|(1,383,625)|-|-|-
2、 对股东的分配(附注五、46)|-|-|-|-|-|-|(4,091,227)|(4,091,227)|(2,492,673)|(6,583,900)
(四)  专项储备(附注五、44)|-|-|-|-|-|-|-|-|-|-
1、  本年提取|-|-|-|-|12,436,845|-|-|12,436,845|-|12,436,845
2、  本年使用|-|-|-|-|(12,436,845)|-|-|(12,436,845)|-|(12,436,845)
(五)  其他|-|-|-|1,917|-|-|(1,917)|-|-|-
1、  其他|-|-|-|1,917|-|-|(1,917)|-|-|-
三、  本年年末余额|13,579,542|40,189,093|44,154,726|(66,158)|-|4,613,506|107,488,965|209,959,674|52,061,900|262,021,574
