page|120
资产|附注六|合并||母公司|
四、利润总额(亏损总额以“-”号填列)||1,147,622,737.30|1,041,248,917.39|454,624,600.89|780,910,426.87
减：所得税费用|54|240,546,531.32|231,715,194.32|79,712,330.10|156,009,833.62
五、净利润(净亏损以“-”号填列)||907,076,205.98|809,533,723.07|374,912,270.79|624,900,593.25
(一)按经营持续性分类：|||||
1.持续经营净利润(净亏损以“-”号填列)||907,076,205.98|809,533,723.07|374,912,270.79|624,900,593.25
2.终止经营净利润(净亏损以“-”号填列)||-|-|-|-
(二)按所有权归属分类：|||||
1.归属于母公司股东的净利润||764,619,396.32|725,376,273.77||
2.少数股东损益||142,456,809.66|84,157,449.30||
六、其他综合收益的税后净额|37|-25,743,122.29|-7,788,233.71|-25,743,122.29|-7,788,233.71
归属于母公司股东的其他综合收益的税后净额||-25,743,122.29|-7,788,233.71||
(一)将重分类进损益的其他综合收益||-25,743,122.29|-7,788,233.71|-25,743,122.29|-7,788,233.71
1.其他债权投资公允价值变动||-28,865,338.80|-73,005,133.29|-28,865,338.80|-73,005,133.29
2.金融资产重分类计入其他综合收益的金额||1,121,333.11|-2,091,554.21|1,121,333.11|-2,091,554.21
3.其他债权投资信用损失准备||2,000,883.40|67,308,453.79|2,000,883.40|67,308,453.79
归属于少数股东的其他综合收益的税后净额||-|-||
七、综合收益总额||881,333,083.69|801,745,489.36|349,169,148.50|617,112,359.54
归属于母公司股东的综合收益总额||738,876,274.03|717,588,040.06||
归属于少数股东的综合收益总额||142,456,809.66|84,157,449.30||
八、每股收益|55||||
(一)基本每股收益(元/股)||0.14|0.13||
(二)稀释每股收益(元/股)||0.14|0.13||
page|123
项目|附注六|合并||母公司|
||本年发生额|上年发生额|本年发生额|上年发生额
一、经营活动产生的现金流量：|||||
收取利息、手续费及佣金的现金||3,879,553,938.43|3,383,516,918.45|2,693,349,230.49|2,767,335,074.44
拆入资金净增加额||589,000,000.00|-|589,000,000.00|-
回购业务资金净增加额||-|2,845,328,910.34|-|2,916,857,806.45
代理买卖证券收到的现金净额||4,580,239,529.01|1,968,666,637.04|2,096,863,512.78|871,508,114.41
收到其他与经营活动有关的现金|57 (1)|2,645,635,641.84|879,466,839.32|1,389,797,604.07|100,611,852.71
经营活动现金流入小计||11,694,429,109.28|9,076,979,305.15|6,769,010,347.34|6,656,312,848.01
为交易目的而持有的金融工具净增加额||1,656,594,504.82|3,446,223,139.39|1,697,302,870.36|4,463,600,803.62
支付利息、手续费及佣金的现金||839,368,105.46|776,968,680.16|824,338,700.86|769,100,810.72
拆入资金净减少额||-|1,590,000,000.00|-|1,590,000,000.00
回购业务资金净减少额||1,565,470,165.99|-|1,551,213,277.14|-
融出资金净增加额||1,414,165,954.39|2,101,843,238.02|1,414,165,954.39|2,101,843,238.02
支付给职工以及为职工支付的现金||1,461,026,609.59|1,144,528,957.81|1,165,449,930.47|940,885,200.83
支付的各项税费||564,224,829.24|618,983,277.57|376,770,822.74|516,317,842.60
支付其他与经营活动有关的现金|57 (2)|3,137,058,807.68|2,252,876,282.41|668,451,198.11|383,688,310.89
经营活动现金流出小计||10,637,908,977.17|11,931,423,575.36|7,697,692,754.07|10,765,436,206.68
经营活动产生的现金流量净额|56 (1)|1,056,520,132.11|-2,854,444,270.21|-928,682,406.73|-4,109,123,358.67
二、投资活动产生的现金流量：|||||
收回投资收到的现金||4,871,698,812.98|11,994,604,805.68|4,831,828,403.86|11,936,556,001.22
取得投资收益收到的现金||240,103,566.63|886,267,713.09|273,276,100.72|981,338,492.42
处置固定资产、无形资产和其他长期资产收回的现金净额||231,470.22|72,606.77|188,612.47|67,466.77
收到其他与投资活动有关的现金|57 (3)|52,668,832.47|-|-|-
投资活动现金流入小计||5,164,702,682.30|12,880,945,125.54|5,105,293,117.05|12,917,961,960.41
投资支付的现金||111,000,000.00|5,141,263,912.17|178,000,000.00|5,041,513,912.17
购建固定资产、无形资产和其他长期资产支付的现金||247,156,015.11|1,454,824,063.26|220,055,580.79|1,441,078,591.77
支付其他与投资活动有关的现金|57 (4)|22,113,132.13|2,165,526.26|-|-
投资活动现金流出小计||380,269,147.24|6,598,253,501.69|398,055,580.79|6,482,592,503.94
投资活动产生的现金流量净额||4,784,433,535.06|6,282,691,623.85|4,707,237,536.26|6,435,369,456.47
三、筹资活动产生的现金流量：|||||
吸收投资收到的现金||-|3,987,623,613.15|-|3,987,623,613.15
取得借款收到的现金||10,000,000.00|-|-|-
发行债券收到的现金||7,591,292,000.00|12,487,110,000.00|7,591,292,000.00|12,487,110,000.00
筹资活动现金流入小计||7,601,292,000.00|16,474,733,613.15|7,591,292,000.00|16,474,733,613.15
偿还债务支付的现金||7,329,227,000.00|14,118,666,800.00|7,319,227,000.00|14,118,666,800.00
分配股利、利润或偿付利息支付的现金||1,249,543,667.51|1,011,115,055.99|1,204,566,456.12|981,404,069.25
其中：子公司支付给少数股东的股利、利润||44,829,989.15|29,710,986.74||
支付其他与筹资活动有关的现金|57 (5)|79,099,108.58|21,627,244.27|59,145,269.54|21,627,244.27
筹资活动现金流出小计||8,657,869,776.09|15,151,409,100.26|8,582,938,725.66|15,121,698,113.52
筹资活动产生的现金流量净额||-1,056,577,776.09|1,323,324,512.89|-991,646,725.66|1,353,035,499.63
四、汇率变动对现金及现金等价物的影响||-1,470,376.03|-2,167,132.57|-310,602.83|-665,991.03
五、现金及现金等价物净增加额||4,782,905,515.05|4,749,404,733.96|2,786,597,801.04|3,678,615,606.40
加：年初现金及现金等价物余额|56 (2)|17,336,165,752.49|12,586,761,018.53|14,675,770,975.34|10,997,155,368.94
六、年末现金及现金等价物余额|56 (2)|22,119,071,267.54|17,336,165,752.49|17,462,368,776.38|14,675,770,975.34
page|124
项目|合并|||||||
|归属于母公司股东权益||||||少数股东权益|股东权益合计
|股本|资本公积|其他综合收益|盈余公积|一般风险准备|未分配利润||
一、2020 年 12 月 31 日余额|5,444,525,514.00|8,990,140,729.53|43,756,041.37|710,323,917.23|1,636,337,979.02|1,654,595,448.30|555,773,022.98|19,035,452,652.43
二、本年增减变动金额|-|-|-25,743,122.29|37,491,227.08|121,984,316.69|-48,199,209.13|97,626,820.51|183,160,032.86
(一)综合收益总额|-|-|-25,743,122.29|-|-|764,619,396.32|142,456,809.66|881,333,083.69
(二)利润分配|-|-|-|37,491,227.08|121,984,316.69|-812,818,605.45|-44,829,989.15|-698,173,050.83
1、提取盈余公积|-|-|-|37,491,227.08|-|-37,491,227.08|-|-
2、提取一般风险准备金|-|-|-|-|121,984,316.69|-121,984,316.69|-|-
3、对股东的分配|-|-|-|-|-|-653,343,061.68|-44,829,989.15|-698,173,050.83
三、2021 年 12 月 31 日余额|5,444,525,514.00|8,990,140,729.53|18,012,919.08|747,815,144.31|1,758,322,295.71|1,606,396,239.17|653,399,843.49|19,218,612,685.29
