page|159
资产|附注五|2020 年 12 月 31 日|2019 年 12 月 31 日
项目|附注五|2020 年度|2019 年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||986,032,268|830,912,219
收到的税费返还||106,094|119,616
吸收存款及拆入资金净增加额||995,373|-
收到的其他与经营活动有关的现金|61(1)|22,830,631|16,512,485
经营活动现金流入小计||1,009,964,366|847,544,320
购买商品、接受劳务支付的现金||861,968,997|702,630,596
发放贷款及垫款净增加额||30,000|600,000
吸收存款及拆入资金净减少额||-|2,061,262
存放中央银行款项净增加额||141,291|1,346,240
支付给职工以及为职工支付的现金||67,478,870|63,879,466
支付的各项税费||26,214,812|26,148,753
支付的其他与经营活动有关的现金|61(2)|14,021,148|10,872,165
经营活动现金流出小计||969,855,118|807,538,482
经营活动产生的现金流量净额|62(1)|40,109,248|40,005,838
二、投资活动产生的现金流量：|||
收回投资收到的现金||5,325,793|6,309,580
取得投资收益收到的现金||1,553,930|1,023,430
处置固定资产、无形资产和其他长期资产收回的现金净额||1,893,816|1,258,099
处置子公司收到的现金净额||129,966|-
收到的其他与投资活动有关的现金|61(3)|1,138,677|95,795
投资活动现金流入小计||10,042,182|8,686,904
购建固定资产、无形资产和其他长期资产支付的现金||31,388,189|32,264,997
投资支付的现金||24,205,455|23,958,633
受限制货币资金的净增加额||3,592,698|1,533,440
取得子公司支付的现金净额||-|212,883
支付的其他与投资活动有关的现金||1,153,511|885,809
投资活动现金流出小计||60,339,853|58,855,762
投资活动使用的现金流量净额||(50,297,671)|(50,168,858)
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||35,852,026|51,276,449
其中：子公司吸收少数股东投资收到的现金||5,779,641|18,766,645
发行债券收到的现金||13,434,057|18,827,127
取得借款收到的现金||157,726,106|137,963,607
收到的其他与筹资活动有关的现金|61(4)|3,438,307|6,507,000
筹资活动现金流入小计||210,450,496|214,574,183
偿还债务支付的现金||148,331,534|163,071,203
分配股利、利润或偿付利息支付的现金||19,417,459|16,324,940
其中：子公司支付给少数股东的股利||3,068,919|1,819,328
支付的其他与筹资活动有关的现金|61(5)|4,462,474|14,980,045
筹资活动现金流出小计||172,211,467|194,376,188
筹资活动产生的现金流量净额||38,239,029|20,197,995
四、汇率变动对现金及现金等价物的影响||(674,726)|170,924
五、现金及现金等价物净增加额||27,375,880|10,205,899
加：年初现金及现金等价物余额|62(2)|140,293,616|130,087,717
六、年末现金及现金等价物余额|62(2)|167,669,496|140,293,616
