page|128
资产|附注|2019 年 12 月 31 日 合并|2018 年 12 月 31 日 合并|2019 年 12 月 31 日 公司|2018 年 12 月 31 日 公司
资产总计||2,034,451,929|1,861,840,298|286,141,878|282,262,937
page|129
负债和股东权益|附注|2019 年 12 月 31 日 合并|2018 年 12 月 31 日 合并|2019 年 12 月 31 日 公司|2018 年 12 月 31 日 公司
流动负债|||||
短期借款|四(26)|28,498,331|19,158,639|16,019,470|8,018,549
应付票据|四(27)|7,030,414|13,412,795|-|-
应付账款|四(28)|493,129,630|481,457,764|43,506,320|38,778,642
预收款项|四(29)|449,953|176,817,850|-|22,031,673
合同负债|四(30)|281,789,584|90,007,393|14,774,502|—
应付职工薪酬|四(31)|7,757,862|8,421,664|521,869|549,950
应交税费|四(32)|59,368,941|47,046,860|777,906|680,732
其他应付款|四(33)|114,030,641|112,008,484|41,148,194|43,435,131
一年内到期的非流动负债|四(34)|89,017,494|80,399,688|13,075,858|13,943,297
其他流动负债|四(35)|64,654,827|37,837,320|3,803,807|2,778,747
流动负债合计||1,145,727,677|1,066,568,457|133,627,926|130,216,721
|||||
非流动负债|||||
长期借款|四(36)|247,800,428|214,675,614|3,845,000|3,282,000
应付债券|四(37)|99,596,598|109,445,517|12,886,322|22,854,625
长期应付款|四(38)|19,897,230|19,880,342|17,093,457|15,358,573
预计负债|四(39)|4,108,734|599,326|28,540|37,373
递延收益|四(40)|444,795|387,345|7,455|10,666
长期应付职工薪酬|四(41)|2,064,489|2,122,674|122,053|122,971
递延所得税负债|四(23)|4,655,710|4,529,594|-|-
其他非流动负债|四(42)|8,320,948|14,367,173|-|-
非流动负债合计||386,888,932|366,007,585|33,982,827|41,666,208
|||||
负债合计||1,532,616,609|1,432,576,042|167,610,753|171,882,929
|||||
股东权益|||||
股本|四(43)|41,975,630|41,985,174|41,975,630|41,985,174
其他权益工具|四(44)|20,975,410|22,972,180|20,975,410|22,972,180
其中：优先股||14,975,410|14,975,410|14,975,410|14,975,410
永续债||6,000,000|7,996,770|6,000,000|7,996,770
资本公积|四(45)|12,027,610|11,262,289|30,537,559|29,955,921
减：库存股||(2,501,460)|(2,924,442)|(2,501,460)|(2,924,442)
其他综合收益|四(46)|(1,776,745)|(1,699,877)|126,114|(257,500)
专项储备|四(47)|88,474|77,329|-|-
一般风险准备||1,151,202|656,661|-|-
盈余公积|四(48)|7,716,149|6,003,665|7,716,149|6,003,665
未分配利润|四(49)|197,541,411|165,628,207|19,701,723|12,645,010
归属于母公司股东权益合计||277,197,681|243,961,186|118,531,125|110,380,008
少数股东权益||224,637,639|185,303,070|-|-
股东权益合计||501,835,320|429,264,256|118,531,125|110,380,008
|||||
负债及股东权益总计||2,034,451,929|1,861,840,298|286,141,878|282,262,937
page|130
项目|附注|2019 年度 合并|2018 年度 合并|2019 年度 公司|2018 年度 公司
一、营业收入|四(50)、十八(5)|1,419,836,588|1,199,324,525|111,416,548|102,575,177
减：营业成本|四(50)、十八(5)||(1,262,226,200)    (1,056,709,590)|(108,104,981)|(98,306,740)
税金及附加|四(51)|(17,220,003)|(16,194,997)|(173,291)|(176,000)
销售费用|四(52)|(4,330,826)|(3,649,886)|-|-
管理费用|四(53)|(27,685,477)|(23,351,893)|(1,249,089)|(1,148,219)
研发费用|四(54)|(17,289,939)|(7,620,946)|(48,364)|(99,015)
财务费用|四(55)|(7,911,711)|(15,336,278)|(2,147,074)|(2,172,730)
其中：利息费用||(10,476,405)|(10,474,371)|(2,271,228)|(2,434,841)
利息收入||3,648,525|3,277,464|218,747|183,221
加：其他收益||301,988|322,790|8,813|5,977
投资收益|四(57)、十八(6)|4,212,538|5,646,311|17,848,100|4,696,480
其中：对联营企业和合营企业的投资收益||4,673,782|4,191,367|(8,118)|(71,609)
以摊余成本计量的金融资产终止确认损益||(2,330,684)|—|-|—
公允价值变动损失|四(58)|(484,752)|(368,343)|-|-
信用减值损失|四(59)|(3,611,595)|—|(791,733)|—
资产减值损失|四(60)|73,370|(10,465,899)|-|(348,293)
资产处置收益||131,105|69,502|328|1,427
二、营业利润||83,795,086|71,665,296|16,759,257|5,028,064
加：营业外收入|四(61)|1,294,032|609,181|31,593|384
减：营业外支出|四(62)|(3,621,272)|(485,689)|(30,151)|(3,194)
三、利润总额||81,467,846|71,788,788|16,760,699|5,025,254
减：所得税费用|四(63)|(18,262,603)|(16,438,588)|(356,456)|(213,504)
四、净利润||63,205,243|55,350,200|16,404,243|4,811,750
按经营持续性分类|||||
持续经营净利润||63,205,243|55,350,200|16,404,243|4,811,750
终止经营净利润||-|-|-|-
按所有权归属分类|||||
少数股东损益||21,323,844|17,108,876|-|-
归属于母公司股东的净利润||41,881,399|38,241,324|16,404,243|4,811,750
五、其他综合收益的税后净额|四(46)|606,129|(1,357,939)|173,163|15,491
归属于母公司股东的其他综合收益的税后净额||580,780|(1,679,510)|173,163|15,491
不能重分类进损益的其他综合收益||1,033,764|(100,000)|180,882|(4,740)
重新计量设定受益计划变动额||(27,690)|(100,000)|(3,910)|(4,740)
其他权益工具投资公允价值变动||1,061,454|—|184,792|—
将重分类进损益的其他综合收益||(452,984)|(1,579,510)|(7,719)|20,231
权益法下可转损益的其他综合收益||(189,202)|(412,967)|345|-
可供出售金融资产公允价值变动损益||—|(952,197)|—|(51,265)
其他债权投资公允价值变动||11,483|—|-|—
外币财务报表折算差额||(275,265)|(214,346)|(8,064)|71,496
归属于少数股东的其他综合收益的税后净额||25,349|321,571|-|-
六、综合收益总额||63,811,372|53,992,261|16,577,406|4,827,241
归属于母公司股东的综合收益总额||42,462,179|36,561,814|16,577,406|4,827,241
归属于少数股东的综合收益总额||21,349,193|17,430,447|-|-
七、每股收益|||||
基本每股收益(人民币元)|四(65)(a)|0.97|0.87|不适用|不适用
稀释每股收益(人民币元)|四(65)(b)|0.96|0.85|不适用|不适用
page|131
项目|附注|2019 年度 合并|2018 年度 合并|2019 年度 公司|2018 年度 公司
一、经营活动产生的现金流量|||||
销售商品、提供劳务收到的现金||1,504,062,812|1,244,549,400|118,794,506|111,286,762
收到的税费返还||89,985|45,940|563|-
收到其他与经营活动有关的现金|四(66)(a)|19,369,597|34,532,417|6,270,607|9,433,585
经营活动现金流入小计||1,523,522,394|1,279,127,757|125,065,676|120,720,347
购买商品、接受劳务支付的现金||(1,394,717,262)|(1,135,914,655)|(109,905,675)|(104,673,157)
支付给职工以及为职工支付的现金||(73,848,103)|(67,710,734)|(1,915,066)|(3,345,095)
支付的各项税费||(59,391,122)|(50,886,530)|(946,219)|(900,135)
支付其他与经营活动有关的现金|四(66)(b)|(29,785,984)|(14,304,548)|(7,598,603)|(3,084,209)
经营活动现金流出小计||(1,557,742,471)|(1,268,816,467)|(120,365,563)|(112,002,596)
经营活动(使用)/产生的现金流量净额|四(67)(a)|(34,220,077)|10,311,290|4,700,113|8,717,751
二、投资活动产生的现金流量|||||
收回投资收到的现金||8,393,599|6,232,687|1,772,318|25,000
取得投资收益收到的现金||4,957,371|1,860,307|19,211,427|8,979,614
处置固定资产、无形资产和其他长期资产收回的现金净额||2,186,400|725,253|2,776|4,313
处置子公司及其他营业单位收到的现金净额||48,539|-|-|-
收购子公司及其他营业单位收到的现金净额||467,693|-|-|-
收到其他与投资活动有关的现金|四(66)(c)|16,235,302|16,239,687|2,266,843|3,542,857
投资活动现金流入小计||32,288,904|25,057,934|23,253,364|12,551,784
购建固定资产、无形资产和其他长期资产支付的现金||(20,436,792)|(18,624,014)|(201,915)|(71,172)
投资支付的现金||(11,280,575)|(19,109,520)|(8,298,400)|(11,363,247)
取得子公司及其他营业单位支付的现金净额||-|(302,661)|-|-
处置子公司及其他营业单位支付的现金净额||-|(59,903)|-|-
支付其他与投资活动有关的现金|四(66)(d)|(20,384,348)|(19,775,262)|(3,075,237)|(6,469,362)
投资活动现金流出小计||(52,101,715)|(57,871,360)|(11,575,552)|(17,903,781)
投资活动(使用)/产生的现金流量净额||(19,812,811)|(32,813,426)|11,677,812|(5,351,997)
三、筹资活动产生的现金流量|||||
吸收投资收到的现金||29,815,290|53,619,630|-|6,000,000
其中：子公司吸收少数股东投资收到的现金||29,815,290|47,620,630|-|-
取得借款收到的现金||184,449,477|141,227,841|22,000,000|10,300,000
发行债券收到的现金||15,130,566|33,470,647|-|10,000,000
收到其他与筹资活动有关的现金|四(66)(e)|10,533,485|16,026,097|2,248,813|13,704,261
筹资活动现金流入小计||239,928,818|244,344,215|24,248,813|40,004,261
偿还债务支付的现金||(161,987,155)|(142,835,808)|(23,415,000)|(29,742,013)
分配股利、利润或偿付利息支付的现金||(37,387,427)|(32,230,053)|(10,844,930)|(9,933,879)
其中：子公司支付给少数股东的股利、利润||(8,009,883)|(6,091,316)|-|-
购买子公司少数股权而支付的现金||(222,492)|(75,055)|-|-
支付其他与筹资活动有关的现金|四(66)(f)|(14,023,834)|(4,333,041)|(8,767,963)|(2,596,840)
筹资活动现金流出小计||(213,620,908)|(179,473,957)|(43,027,893)|(42,272,732)
筹资活动产生/(使用)的现金流量净额||26,307,910|64,870,258|(18,779,080)|(2,268,471)
四、汇率变动对现金及现金等价物的影响||642,592|2,621,251|(147,879)|521,151
五、现金及现金等价物净(减少)/增加额||(27,082,386)|44,989,373|(2,549,034)|1,618,434
加：年初现金及现金等价物余额||298,810,194|253,820,821|24,077,377|22,458,943
六、年末现金及现金等价物余额|四(67)(b)|271,727,808|298,810,194|21,528,343|24,077,377
