page|92
资产|附注|2021 年 12 月 31 日 合并|2020 年 12 月 31 日 合并|2021 年 12 月 31 日 公司|2020 年 12 月 31 日 公司
开发支出|五(15)|1,996,196,914.59|1,219,316,771.31|1,967,628,753.54|1,201,563,546.02
商誉|五(16)|29,925,867,104.99|29,926,947,545.42|29,876,983,064.77|29,876,983,064.77
长期待摊费用|五(17)|1,948,842,092.98|2,278,520,601.68|1,804,311,196.19|2,108,399,309.04
递延所得税资产|五(18)|6,687,891,833.17|8,163,975,799.38|6,195,702,654.58|7,801,725,162.36
其他非流动资产|五(19)|2,499,174,878.33|1,152,436,471.97|2,470,205,831.49|961,367,385.25
|||||
非流动资产合计||634,881,045,505.32|631,087,799,451.56|642,724,099,226.48|637,376,886,603.95
|||||
资产总计||762,241,575,525.86|715,103,425,413.54|731,736,384,138.64|689,363,869,512.70
page|93
负债和股东权益|附注|2021 年 12 月 31 日 合并|2020 年 12 月 31 日 合并|2021 年 12 月 31 日 公司|2020 年 12 月 31 日 公司
流动负债|||||
短期借款|五(21)|2,820,500,000.00|15,994,802,936.50|28,420,500,000.00|44,403,563,634.67
应付票据|五(22)|5,333,883,880.98|6,453,206,812.22|5,240,259,949.00|6,248,172,657.81
应付账款|五(23)|109,561,528,503.64|101,124,619,739.18|100,207,075,796.91|96,279,245,926.08
预收款项||220,951,661.44|235,201,198.84|176,434,240.44|216,848,398.62
合同负债|五(24)|70,913,991,574.32|63,849,282,971.50|63,438,631,413.01|57,505,909,446.01
应付职工薪酬|五(25)|8,050,665,952.38|5,807,397,579.47|7,368,808,322.83|5,274,043,768.75
应交税费|五(26)|3,008,716,312.37|2,108,496,509.78|2,233,073,456.16|1,621,459,974.99
其他应付款|五(27)|35,111,392,146.58|37,777,393,101.49|21,450,236,064.61|18,799,489,240.59
一年内到期的非流动负债|五(28)|20,101,860,945.11|14,652,269,641.49|19,846,682,205.55|14,022,458,361.05
其他流动负债|五(29)|5,173,922,906.70|16,697,322,270.50|4,227,669,084.04|16,073,584,091.65
|||||
流动负债合计||260,297,413,883.52|264,699,992,760.97|252,609,370,532.55|260,444,775,500.22
|||||
非流动负债|||||
长期借款|五(30)|5,348,271,926.80|17,224,984,465.69|5,348,271,926.80|17,224,984,465.69
应付债券|五(31)|2,047,013,227.66|6,996,335,563.03|2,047,013,227.66|6,996,335,563.03
租赁负债|五(32)|28,593,479,506.44|27,455,440,002.16|28,167,734,630.28|27,010,171,593.54
长期应付款||98,868,973.64|399,480,470.38|98,868,973.64|102,346,231.23
预计负债||61,043,730.40|70,316,597.85|46,604,391.31|35,642,200.64
递延收益|五(33)|7,350,420,661.60|7,302,888,514.55|7,297,088,849.80|7,254,470,822.07
长期应付职工薪酬||591,531,913.83|563,079,638.51|588,872,834.87|561,928,285.55
递延所得税负债|五(18)|26,677,426,564.90|24,208,198,736.11|26,399,559,669.86|23,914,764,278.85
其他非流动负债||394,349.61|116,565.20|394,349.61|116,565.20
|||||
非流动负债合计||70,768,450,854.88|84,220,840,553.48|69,994,408,853.83|83,100,760,005.80
|||||
负债合计||331,065,864,738.40|348,920,833,314.45|322,603,779,386.38|343,545,535,506.02
|||||
股东权益|||||
股本|五(34)|91,507,138,699.00|80,932,368,321.00|91,507,138,699.00|80,932,368,321.00
资本公积|五(35)|67,579,703,286.79|30,218,224,716.73|76,004,953,456.73|39,106,286,819.84
其他综合收益|五(36)|(837,334,038.36)|(580,841,414.23)|181,599,832.48|135,877,493.06
盈余公积|五(37)|82,277,790,025.97|79,854,407,593.00|82,277,790,025.97|79,854,407,593.00
一般风险准备||97,202,728.00|56,281,996.66|-|-
未分配利润|五(38)|188,056,844,757.64|172,983,199,569.74|159,161,122,738.08|145,789,393,779.78
归属于母公司股东权益合计||428,681,345,459.04|363,463,640,782.90|409,132,604,752.26|345,818,334,006.68
少数股东权益||2,494,365,328.42|2,718,951,316.19|-|-
股东权益合计||431,175,710,787.46|366,182,592,099.09|409,132,604,752.26|345,818,334,006.68
|||||
负债和股东权益总计||762,241,575,525.86|715,103,425,413.54|731,736,384,138.64|689,363,869,512.70
page|94
项目|附注|2021 年度 合并|2020 年度 合并|2021 年度 公司|2020 年度 公司
一、营业收入|五(39)/十六(5)  434,158,923,222.12||389,939,266,024.20|382,767,350,548.97  355,212,600,233.86|
减：营业成本|五(39)/十六(5)  307,336,747,520.82||272,195,547,456.69||265,197,641,937.12  244,730,335,312.05
税金及附加|五(40)|1,729,913,574.83|1,476,893,735.17|1,599,748,329.86|1,370,119,854.86
销售费用|五(41)|52,171,857,677.66|48,881,611,904.11|50,938,428,170.48|47,267,885,415.24
管理费用|五(42)|32,361,520,587.20|27,155,279,201.97|30,457,128,890.43|26,119,516,430.09
研发费用|五(43)|6,933,360,245.50|4,736,104,349.98|4,270,148,993.06|3,078,845,999.77
财务费用|五(44)|1,293,513,882.71|3,013,751,714.45|2,192,033,372.36|3,685,266,797.86
其中：利息费用||2,421,344,176.83|3,457,176,486.89|3,090,488,825.95|3,977,143,647.22
利息收入||1,097,710,089.60|580,691,069.65|899,403,640.41|413,198,564.67
加：其他收益|五(45)|3,672,016,131.32|2,210,562,022.59|3,448,537,028.07|2,047,471,420.13
投资收益|五(46)/十六(6)|4,193,002,162.55|1,757,101,034.57|5,658,873,417.98|1,802,681,263.82
其中：对联营企业和合营企业的投资收益||1,966,356,222.12|1,700,775,785.55|1,950,263,267.66|1,686,563,288.66
公允价值变动（损失）/收益|五(47)|(67,302,120.38)|31,834,032.16|(82,051,738.50)|26,630,147.39
信用减值损失|五(48)|(1,818,691,445.16)|(1,511,228,502.90)|(1,626,104,615.66)|(1,429,917,361.43)
资产减值损失|五(49)|(235,169,321.79)|(5,078,156,079.07)|(11,283,638.83)|(5,049,325,248.44)
资产处置收益|五(50)|1,588,830,144.05|1,197,260,179.34|1,590,092,668.26|1,197,301,918.45
|||||
二、营业利润||39,664,695,283.99|31,087,450,348.52|37,090,283,976.98|27,555,472,563.91
加：营业外收入|五(51)|2,042,159,163.24|1,692,925,952.87|2,003,512,017.97|1,657,443,157.93
减：营业外支出|五(52)|7,836,337,860.47|5,384,647,894.01|7,810,006,213.98|5,347,238,281.64
|||||
三、利润总额||33,870,516,586.76|27,395,728,407.38|31,283,789,780.97|23,865,677,440.20
减：所得税费用|五(53)|7,716,224,651.48|6,306,554,704.44|7,049,965,451.26|5,753,537,896.71
|||||
四、净利润||26,154,291,935.28|21,089,173,702.94|24,233,824,329.71|18,112,139,543.49
（一）按经营持续性分类|||||
1、持续经营净利润||26,154,291,935.28|21,089,173,702.94|24,233,824,329.71|18,112,139,543.49
2、终止经营净利润||-|-|-|-
（二）按所有权归属分类|||||
1、归属于母公司股东的净利润||25,951,975,087.64|20,855,178,309.81|24,233,824,329.71|18,112,139,543.49
2、少数股东损益||202,316,847.64|233,995,393.13|-|-
|||||
五、其他综合收益的税后净额||(228,023,041.23)|(604,046,418.15)|45,722,339.42|(296,856,879.81)
归属于母公司股东的其他综合收益的税后净额||(228,023,041.23)|(605,580,810.00)|45,722,339.42|(296,856,879.81)
（一）不能重分类进损益的其他综合收益||4,483,850.57|(289,925,745.79)|45,855,288.00|(292,679,421.12)
1、其他权益工具投资公允价值变动||4,483,850.57|(289,925,745.79)|45,855,288.00|(292,679,421.12)
（二）将重分类进损益的其他综合收益||(232,506,891.80)|(315,655,064.21)|(132,948.58)|(4,177,458.69)
1、权益法下可转损益的其他综合收益||(132,948.58)|(4,177,458.69)|(132,948.58)|(4,177,458.69)
2、外币报表折算差额||(232,373,943.22)|(311,477,605.52)|-|-
归属于少数股东的其他综合收益的税后净额||-|1,534,391.85|-|-
|||||
六、综合收益总额||25,926,268,894.05|20,485,127,284.79|24,279,546,669.13|17,815,282,663.68
归属于母公司股东的综合收益||25,723,952,046.41|20,249,597,499.81|24,279,546,669.13|17,815,282,663.68
归属于少数股东的综合收益||202,316,847.64|235,529,784.98|-|-
|||||
七、每股收益|||||
其中：基本每股收益|五(54)|0.31|0.26|不适用|不适用
稀释每股收益|五(54)|0.31|0.26|不适用|不适用
page|95
项目|附注|2021 年度 合并|2020 年度 合并|2021 年度 公司|2020 年度 公司
一、经营活动产生的现金流量|||||
销售商品和提供劳务收到的现金||477,013,328,367.03|429,902,275,794.45|414,303,127,439.21|388,408,568,189.92
收到的税费返还||381,481,210.30|1,528,381,210.60|243,042,373.42|1,441,746,847.45
收到其他与经营活动有关的现金|五(55)(a)|23,337,788,069.13|20,817,324,144.99|19,948,743,854.26|16,559,099,884.53
经营活动现金流入小计||500,732,597,646.46|452,247,981,150.04|434,494,913,666.89|406,409,414,921.90
购买商品和接受劳务支付的现金||(197,887,627,116.13)|(165,975,940,715.66)|(147,360,865,476.33)|(138,538,053,395.36)
支付给职工以及为职工支付的现金||(73,794,311,424.90)|(63,853,610,931.05)|(69,258,565,124.98)|(60,497,431,080.65)
支付的各项税费||(8,666,608,500.99)|(5,285,415,533.39)|(8,434,618,405.93)|(3,829,152,751.86)
支付其他与经营活动有关的现金|五(55)(b)|(81,189,213,443.27)|(81,953,318,205.67)|(74,595,855,258.30)|(68,809,645,815.92)
经营活动现金流出小计||(361,537,760,485.29)|(317,068,285,385.77)|(299,649,904,265.54)|(271,674,283,043.79)
|经营活动产生的现金流量净额  五(56)(a)|139,194,837,161.17|135,179,695,764.27|134,845,009,401.35|134,735,131,878.11
|||||
二、投资活动产生的现金流量|||||
收回投资收到的现金||52,168,439.69|47,280,446.97|460,322,784.85|42,600,000.00
取得投资收益收到的现金||860,026,783.00|602,207,155.19|1,080,744,614.65|651,074,009.11
处置固定资产、无形资产和其他长期资产收回的现金净额||1,718,411,716.65|887,601,359.74|1,616,268,261.02|883,415,687.95
处置子公司及其他营业单位收回的现金净额|六(1)|3,764,450,399.88|-|4,085,301,861.69|-
收到其他与投资活动有关的现金|五(55)(c)|11,020,219,571.21|5,694,883,168.59|10,757,794,039.00|5,365,454,690.00
投资活动现金流入小计||17,415,276,910.43|7,231,972,130.49|18,000,431,561.21|6,942,544,387.06
购建固定资产、无形资产和其他长期资产支付的现金||(85,174,370,322.63)|(88,966,977,934.59)|(80,604,999,610.26)|(87,274,303,026.13)
投资支付的现金||(417,211,399.05)|(74,000,000.00)|(6,982,000,000.00)|(480,000.00)
支付其他与投资活动有关的现金|五(55)(d)|(11,250,703,745.77)|(4,664,143,210.99)|(9,165,131,198.00)|(4,588,027,879.00)
投资活动现金流出小计||(96,842,285,467.45)|(93,705,121,145.58)|(96,752,130,808.26)|(91,862,810,905.13)
投资活动使用的现金流量净额||(79,427,008,557.02)|(86,473,149,015.09)|(78,751,699,247.05)|(84,920,266,518.07)
|||||
三、筹资活动产生的现金流量|||||
吸收投资所收到的现金||47,615,284,595.45|-|47,516,017,995.45|-
其中：子公司吸收少数股东投资收到的现金||99,266,600.00|-|-|-
取得借款收到的现金||38,922,238,609.81|81,049,337,047.69|66,094,128,935.17|112,928,909,268.06
收到其他与筹资活动有关的现金|五(55)(e)|3,189,573,231.49|6,705,654,279.41|-|-
筹资活动现金流入小计||89,727,096,436.75|87,754,991,327.10|113,610,146,930.62|112,928,909,268.06
偿还债务支付的现金||(74,485,605,454.88)|(106,982,026,668.71)|(105,564,546,781.90)|(131,320,370,862.40)
分配股利、利润或偿付利息支付的现金||(11,073,439,630.57)|(12,828,738,409.34)|(11,708,728,572.35)|(13,318,756,794.53)
其中：子公司支付给少数股东的股利、利润||(113,202,355.41)|(42,653,202.25)|-|-
支付其他与筹资活动有关的现金|五(55)(f)|(14,211,467,026.07)|(13,574,729,703.32)|(13,604,020,341.18)|(12,364,744,191.49)
筹资活动现金流出小计||(99,770,512,111.52)|(133,385,494,781.37)|(130,877,295,695.43)|(157,003,871,848.42)
筹资活动使用的现金流量净额||(10,043,415,674.77)|(45,630,503,454.27)|(17,267,148,764.81)|(44,074,962,580.36)
|||||
四、汇率变动对现金及现金等价物的影响||(127,200,134.05)|(183,420,568.75)|(117,558,528.83)|(17,797,133.41)
|||||
五、现金及现金等价物净增加额|五(56)(c)|49,597,212,795.33|2,892,622,726.16|38,708,602,860.66|5,722,105,646.27
加：年初现金及现金等价物余额|五(56)(c)|23,683,895,202.94|20,791,272,476.78|12,103,778,452.90|6,381,672,806.63
|||||
六、年末现金及现金等价物余额|五(56)(c)|73,281,107,998.27|23,683,895,202.94|50,812,381,313.56|12,103,778,452.90
