page|112
||(除特别注明外，金额单位为人民币百万元)|||
归属于母公司股东的净利润||92,161|19,002|84,133|62,745
少数股东损益||22,526|14,479|-|-
其他综合收益的税后净额|56|(4,501)|(11,130)|(205)|(524)
归属于母公司股东的其他综合收益的税后净额||(2,609)|(4,372)|(205)|(524)
(一)不能重分类进损益的其他综合收益|||||
其他权益工具投资公允价值变动||79|(22)|(30)|(10)
(二)将重分类进损益的其他综合收益|||||
权益法下可转损益的其他综合收益||(4)|(441)|(175)|(514)
外币财务报表折算差额||(2,684)|(3,909)|-|-
归属于少数股东的其他综合收益的税后净额||(1,892)|(6,758)|-|-
综合收益总额||110,186|22,351|83,928|62,221
归属于：|||||
母公司股东||89,552|14,630|83,928|62,221
少数股东||20,634|7,721|-|-
每股收益|||||
基本每股收益(人民币元)|55|0.50|0.10|0.46|0.34
稀释每股收益(人民币元)|55|0.50|0.10|0.46|0.34
page|115
|(除特别注明外，金额单位为人民币百万元)||||
||2021 年度|2020 年度|2021 年度|2020 年度
项目|附注|合并|合并|公司|公司
经营活动产生的现金流量|||||
销售商品、提供劳务收到的现金||2,575,909|2,193,695|1,585,380|1,232,032
收到其他与经营活动有关的现金||132,521|15,376|13,466|11,293
经营活动现金流入小计||2,708,430|2,209,071|1,598,846|1,243,325
购买商品、接受劳务支付的现金||(1,722,631)|(1,414,729)|(972,088)|(704,419)
支付给职工以及为职工支付的现金||(154,384)|(150,474)|(113,521)|(109,365)
支付的各项税费||(310,416)|(269,761)|(233,375)|(190,333)
支付其他与经营活动有关的现金||(179,530)|(55,532)|(39,092)|(47,658)
经营活动现金流出小计||(2,366,961)|(1,890,496)|(1,358,076)|(1,051,775)
经营活动产生的现金流量净额|58(a)|341,469|318,575|240,770|191,550
投资活动产生的现金流量|||||
收回投资收到的现金||37,345|3,633|5,689|16,936
取得投资收益所收到的现金||15,110|7,310|41,802|21,246
处置固定资产、油气资产、无形资产和其他|||||
长期资产收回的现金净额||3,780|1,269|2,798|726
处置子公司及其他营业单位收到的现金净额||32,057|82,767|-|80,588
投资活动现金流入小计||88,292|94,979|50,289|119,496
购建固定资产、油气资产、无形资产和其他|||||
长期资产支付的现金||(265,563)|(256,727)|(193,939)|(167,375)
投资支付的现金||(35,761)|(20,238)|(9,977)|(19,932)
投资活动现金流出小计||(301,324)|(276,965)|(203,916)|(187,307)
投资活动使用的现金流量净额||(213,032)|(181,986)|(153,627)|(67,811)
筹资活动产生的现金流量|||||
吸收投资收到的现金||673|613|-|-
其中：子公司吸收少数股东投资收到的现金||673|613|-|-
取得借款收到的现金||810,092|989,492|172,284|306,501
筹资活动现金流入小计||810,765|990,105|172,284|306,501
偿还债务支付的现金||(836,434)|(1,017,662)|(201,472)|(344,847)
分配股利、利润或偿付利息支付的现金||(69,195)|(59,042)|(60,933)|(41,744)
其中：子公司支付给少数股东的股利、利润||(16,508)|(14,264)|-|-
子公司资本减少||(69)|(5)|-|-
支付其他与筹资活动有关的现金||(13,038)|(12,796)|(5,854)|(7,498)
筹资活动现金流出小计||(918,736)|(1,089,505)|(268,259)|(394,089)
筹资活动使用的现金流量净额||(107,971)|(99,400)|(95,975)|(87,588)
汇率变动对现金及现金等价物的影响||(2,308)|(4,967)|-|-
现金及现金等价物净增加/(减少)额|58(b)|18,158|32,222|(8,832)|36,151
加：期初现金及现金等价物余额||118,631|86,409|40,787|4,636
期末现金及现金等价物余额|58(c)|136,789|118,631|31,955|40,787
