page|185
卖出回购金融资产款|24|18,190,312,862.45|18,330,330,267.44|18,113,245,249.80|18,275,859,866.37
代理买卖证券款|25|13,608,842,283.64|11,639,809,673.65|9,800,648,444.90|8,928,774,357.54
应付职工薪酬|26|985,827,323.62|618,893,789.83|791,255,504.67|479,021,217.41
应交税费|27|132,669,776.41|100,105,850.08|103,242,442.94|83,853,702.90
应付款项|28|90,804,764.45|40,320,191.00|18,172,989.06|16,262,996.87
合同负债|29|39,145,826.98||6,019,272.24|
应付债券|30|7,878,310,751.70|13,007,372,684.50|7,878,310,751.70|13,007,372,684.50
递延所得税负债|17|23,572,587.04|11,208,635.16|-|-
其他负债|31|260,507,564.15|131,427,324.65|159,497,655.45|39,650,970.22
负债合计||53,518,289,868.41|51,797,302,062.87|46,572,941,691.73|48,031,341,910.78
股东权益：|||||
股本|32|5,444,525,514.00|4,215,541,972.00|5,444,525,514.00|4,215,541,972.00
资本公积|33|8,990,140,729.53|6,275,980,983.51|8,994,510,695.89|6,280,350,949.87
其他综合收益|34|43,756,041.37|51,544,275.08|43,756,041.37|51,544,275.08
盈余公积|35|710,323,917.23|647,833,857.90|710,323,917.23|647,833,857.90
一般风险准备|36|1,636,337,979.02|1,475,659,902.66|1,449,473,260.51|1,313,595,618.36
未分配利润|37|1,654,595,448.30|1,342,945,636.93|1,198,968,309.48|962,993,744.42
归属于母公司股东权益 合计||18,479,679,629.45|14,009,506,628.08||
少数股东权益||555,773,022.98|501,326,560.42||
股东权益合计||19,035,452,652.43|14,510,833,188.50|17,841,557,738.48|13,471,860,417.63
负债和股东权益总计||72,553,742,520.84|66,308,135,251.37|64,414,499,430.21|61,503,202,328.41
page|187
项目|附注六|合并||母公司|
||2020 年度|2019 年度|2020 年度|2019 年度
一、营业收入|||4,482,015,217.40  3,560,208,077.82  3,066,516,250.78  2,329,314,283.85||
利息净收入|38|408,753,428.31||534,205,217.41    323,352,280.52|446,111,491.37
其中：利息收入|||1,535,579,900.44  2,123,767,499.12  1,442,026,771.61  2,029,496,622.94||
利息支出|||1,126,826,472.13  1,589,562,281.71  1,118,674,491.09  1,583,385,131.57||
手续费及佣金净收入|39||1,963,585,461.30  1,475,116,880.43  1,417,405,152.78  1,074,724,002.77||
其中：经纪业务手续费净收入||822,400,148.34|543,058,494.27|627,516,417.68|414,610,657.95
投资银行业务手续费净收入||421,624,144.87|357,899,288.69|421,624,144.87|357,899,288.69
资产管理业务手续费净收入||338,719,339.36|296,881,649.20|347,399,723.73|287,538,362.70
投资收益|40|1,386,118,974.62||760,118,899.50  1,275,539,000.24|684,744,456.78
其中：对联营企业和合营企业的投资收益         (损失以“-”号填列)||-6,638,181.72|34,299,918.38|-|-
以摊余成本计量的金融资产终止确认  产生的投资收益(损失以“-”号填列)||-45,770,116.39|2,754,136.46|-45,770,116.39|2,754,136.46
其他收益|41|25,090,974.50|22,100,479.43|7,926,046.94|7,704,864.97
公允价值变动收益|42|66,034,699.39|219,576,692.04|34,333,679.04|106,575,247.48
汇兑收益(损失以“-”号填列)||-2,160,368.57|729,341.74|-665,991.03|213,818.86
其他业务收入|43|634,609,653.20|548,360,567.27|8,643,687.64|9,240,401.62
资产处置收益(损失以“-”号填列)|44|-17,605.35|-|-17,605.35|-
二、营业支出|||3,432,715,218.17  2,844,724,197.63  2,278,329,181.04  1,856,337,145.36||
税金及附加|45|23,113,079.47|21,252,507.39|19,183,396.92|18,311,670.34
业务及管理费|46||2,232,353,608.51  1,848,957,348.80  1,729,100,220.59  1,406,680,103.07||
信用减值损失|47|528,717,632.09|430,931,706.18|529,088,382.75|430,311,149.13
其他资产减值损失|48|39,500,000.00|2,580,000.00|-|-
其他业务成本|49|609,030,898.10|541,002,635.26|957,180.78|1,034,222.82
三、营业利润(亏损以“-”号填列)||1,049,299,999.23|715,483,880.19|788,187,069.74|472,977,138.49
加：营业外收入|50|3,703,983.22|6,242,315.01|1,078,307.53|1,095,414.39
减：营业外支出|50|11,755,065.06|4,997,100.28|8,354,950.40|4,689,534.19
四、利润总额(亏损总额以“-”号填列)||1,041,248,917.39|716,729,094.92|780,910,426.87|469,383,018.69
减：所得税费用|51|231,715,194.32|172,845,438.68|156,009,833.62|104,964,298.04
五、净利润(净亏损以“-”号填列)||809,533,723.07|543,883,656.24|624,900,593.25|364,418,720.65
(一)按经营持续性分类：|||||
1.持续经营净利润(净亏损以“-”号填列)||809,533,723.07|543,883,656.24|624,900,593.25|364,418,720.65
2.终止经营净利润(净亏损以“-”号填列)||-|-|-|-
(二)按所有权归属分类：|||||
1.归属于母公司股东的净利润||725,376,273.77|487,716,781.47||
2.少数股东损益||84,157,449.30|56,166,874.77||
六、其他综合收益的税后净额|34|-7,788,233.71|30,845,398.40|-7,788,233.71|30,845,398.40
归属于母公司股东的其他综合收益的税后净额||-7,788,233.71|30,845,398.40||
(一)以后将重分类进损益的其他综合收益||-7,788,233.71|30,845,398.40|-7,788,233.71|30,845,398.40
1.其他债权投资公允价值变动||-73,005,133.29|23,071,016.02|-73,005,133.29|23,071,016.02
2.金融资产重分类计入其他综合收益的金额||-2,091,554.21|-|-2,091,554.21|-
3.其他债权投资信用损失准备||67,308,453.79|7,774,382.38|67,308,453.79|7,774,382.38
归属于少数股东的其他综合收益的税后净额||-|-||
七、综合收益总额||801,745,489.36|574,729,054.64|617,112,359.54|395,264,119.05
归属于母公司股东的综合收益总额||717,588,040.06|518,562,179.87||
归属于少数股东的综合收益总额||84,157,449.30|56,166,874.77||
八、每股收益|52||||
(一)基本每股收益(元/股)||0.13|0.11||
(二)稀释每股收益(元/股)||0.13|0.11||
page|188
项目|附注六|合并||母公司|
||本年发生额|上年发生额|本年发生额|上年发生额
一、经营活动产生的现金流量：|||||
处置交易性金融资产/负债收到的 现金净额||-|413,041,191.25|-|689,474,281.67
收取利息、手续费及佣金的现金||3,383,516,918.45|3,002,509,710.59|2,767,335,074.44|2,496,419,560.46
回购业务资金净增加额||2,845,328,910.34|3,523,835,293.99|2,916,857,806.45|3,361,903,817.01
代理买卖证券收到的现金净额||1,968,666,637.04|2,914,105,813.23|871,508,114.41|2,670,577,445.95
收到其他与经营活动有关的现金|54 (1)|879,466,839.32|589,952,122.24|100,611,852.71|18,743,573.58
经营活动现金流入小计||9,076,979,305.15|10,443,444,131.30|6,656,312,848.01|9,237,118,678.67
购买交易性金融资产/负债支付的     现金净额||3,446,223,139.39|-|4,463,600,803.62|-
支付利息、手续费及佣金的现金||776,968,680.16|843,096,402.62|769,100,810.72|837,594,979.95
拆入资金净减少额||1,590,000,000.00|1,210,000,000.00|1,590,000,000.00|1,210,000,000.00
融出资金净增加额||2,101,843,238.02|1,420,505,682.45|2,101,843,238.02|1,420,505,682.45
支付给职工以及为职工支付的现金||1,144,528,957.81|959,125,185.01|940,885,200.83|738,448,059.26
支付的各项税费||618,983,277.57|357,724,795.68|516,317,842.60|299,983,993.07
支付其他与经营活动有关的现金|54 (2)|2,252,876,282.41|1,833,982,949.52|383,688,310.89|546,243,938.92
经营活动现金流出小计||11,931,423,575.36||6,624,435,015.28   10,765,436,206.68|5,052,776,653.65
经营活动产生的现金流量净额|53 (1)|-2,854,444,270.21||3,819,009,116.02   -4,109,123,358.67|4,184,342,025.02
二、投资活动产生的现金流量：|||||
收回投资收到的现金||11,994,604,805.68||1,252,000,000.00   11,936,556,001.22|1,180,000,000.00
取得投资收益收到的现金||886,267,713.09|807,844,022.43|981,338,492.42|839,186,517.27
处置固定资产、无形资产和其他       长期资产收回的现金净额||72,606.77|117,187.96|67,466.77|114,920.27
收到其他与投资活动有关的现金|54 (3)|-|261,679.81|-|-
投资活动现金流入小计||12,880,945,125.54||2,060,222,890.20   12,917,961,960.41|2,019,301,437.54
投资支付的现金||5,141,263,912.17|1,783,369,415.75|5,041,513,912.17|1,629,369,415.75
购建固定资产、无形资产和     其他长期资产支付的现金||1,454,824,063.26|106,306,920.35|1,441,078,591.77|93,405,954.22
支付其他与投资活动有关的现金|54 (4)|2,165,526.26|813,914.97|-|-
投资活动现金流出小计||6,598,253,501.69|1,890,490,251.07|6,482,592,503.94|1,722,775,369.97
投资活动产生的现金流量净额||6,282,691,623.85|169,732,639.13|6,435,369,456.47|296,526,067.57
三、筹资活动产生的现金流量：|||||
吸收投资收到的现金||3,987,623,613.15|-|3,987,623,613.15|-
发行债券收到的现金||12,487,110,000.00||2,508,430,000.00   12,487,110,000.00|2,508,430,000.00
筹资活动现金流入小计||16,474,733,613.15||2,508,430,000.00   16,474,733,613.15|2,508,430,000.00
偿还债务支付的现金||14,118,666,800.00||3,484,300,000.00   14,118,666,800.00|3,484,300,000.00
分配股利、利润或偿付利息支付的现金||1,011,115,055.99|929,511,264.41|981,404,069.25|905,748,853.94
其中：子公司支付给少数股东的           股利、利润||29,710,986.74|23,762,410.47||
支付其他与筹资活动有关的现金|54 (5)|21,627,244.27|-|21,627,244.27|-
筹资活动现金流出小计||15,151,409,100.26||4,413,811,264.41   15,121,698,113.52|4,390,048,853.94
筹资活动产生的现金流量净额|||1,323,324,512.89   -1,905,381,264.41|1,353,035,499.63|-1,881,618,853.94
四、汇率变动对现金及现金等价物             的影响||-2,167,132.57|721,699.74|-665,991.03|213,818.86
五、现金及现金等价物净增加额||4,749,404,733.96|2,084,082,190.48|3,678,615,606.40|2,599,463,057.51
加：年初现金及现金等价物余额|53 (2)|12,586,761,018.53||10,502,678,828.05   10,997,155,368.94|8,397,692,311.43
六、年末现金及现金等价物余额|53 (2)|17,336,165,752.49||12,586,761,018.53   14,675,770,975.34|10,997,155,368.94
page|189
项目|合并|||||||
|归属于母公司股东权益||||||少数股东权益|股东权益合计
|股本|资本公积|其他综合收益|盈余公积|一般风险准备|未分配利润||
一、2019 年 12 月 31 日余额||4,215,541,972.00  6,275,980,983.51||51,544,275.08  647,833,857.90  1,475,659,902.66||1,342,945,636.93||501,326,560.42  14,510,833,188.50
二、本年增减变动金额||1,228,983,542.00  2,714,159,746.02|-7,788,233.71|62,490,059.33|160,678,076.36|311,649,811.37|54,446,462.56|4,524,619,463.93
(一)综合收益总额|-|-|-7,788,233.71|-|-|725,376,273.77|84,157,449.30|801,745,489.36
(二)所有者投入和减少资本||1,228,983,542.00  2,714,159,746.02|-|-|-|-|-|3,943,143,288.02
1、股东投入的普通股||1,228,983,542.00  2,714,159,746.02|-|-|-|-|-|3,943,143,288.02
(三)利润分配|-|-|-|62,490,059.33|160,678,076.36|-413,726,462.40|-29,710,986.74|-220,269,313.45
1、提取盈余公积|-|-|-|62,490,059.33|-|-62,490,059.33|-|-
2、提取一般风险准备金|-|-|-|-|160,678,076.36|-160,678,076.36|-|-
3、对股东的分配|-|-|-|-|-|-190,558,326.71|-29,710,986.74|-220,269,313.45
三、2020 年 12 月 31 日余额||5,444,525,514.00  8,990,140,729.53||43,756,041.37  710,323,917.23  1,636,337,979.02||1,654,595,448.30||555,773,022.98  19,035,452,652.43
