page|113
（一）不能重分类进损益的其他综合收益|||||
其他权益工具投资公允价值变动||96|(162)|40|(55)
（二）将重分类进损益的其他综合收益|||||
权益法下可转损益的其他综合收益||417|220|434|208
外币财务报表折算差额||4,128|(5,022)|-|-
归属于少数股东的其他综合收益的税后净额||4,289|2,316|-|-
综合收益总额||75,940|71,326|30,840|54,913
归属于：|||||
母公司股东||50,318|48,066|30,840|54,913
少数股东||25,622|23,260|-|-
每股收益|||||
基本每股收益（人民币元）|52|0.25|0.29|0.17|0.30
稀释每股收益（人民币元）|52|0.25|0.29|0.17|0.30
page|116
|2019 年度合并及公司现金流量表||||
|（除特别注明外，金额单位为人民币百万元）||||
||2019 年度|2018 年度|2019 年度|2018 年度
项目|附注|合并|合并|公司|公司
经营活动产生的现金流量|||||
销售商品、提供劳务收到的现金||2,865,719|2,737,929|1,545,934|1,577,719
收到其他与经营活动有关的现金||14,984|17,233|31,336|39,726
经营活动现金流入小计||2,880,703|2,755,162|1,577,270|1,617,445
购买商品、接受劳务支付的现金||(1,954,120)|(1,856,841)||(991,961)    (1,021,610)
支付给职工以及为职工支付的现金||(156,287)|(143,267)|(114,806)|(105,169)
支付的各项税费||(340,449)|(326,038)|(233,282)|(231,162)
支付其他与经营活动有关的现金||(70,237)|(75,760)|(40,755)|(47,409)
经营活动现金流出小计||(2,521,093)|(2,401,906)||(1,380,804)    (1,405,350)
经营活动产生的现金流量净额|55(a)|359,610|353,256|196,466|212,095
投资活动产生的现金流量|||||
收回投资收到的现金||15,186|16,089|15,081|40,986
取得投资收益所收到的现金||7,725|8,401|24,774|32,612
处置固定资产、油气资产、无形资产和其他|||||
长期资产收回的现金净额||2,088|1,701|1,882|1,167
投资活动现金流入小计||24,999|26,191|41,737|74,765
购建固定资产、油气资产、无形资产和其他|||||
长期资产支付的现金||(326,762)|(275,834)|(228,513)|(193,988)
投资支付的现金||(31,185)|(18,169)|(24,801)|(36,314)
投资活动现金流出小计||(357,947)|(294,003)|(253,314)|(230,302)
投资活动使用的现金流量净额||(332,948)|(267,812)|(211,577)|(155,537)
筹资活动产生的现金流量|||||
吸收投资收到的现金||2,640|2,211|-|-
其中：子公司吸收少数股东投资收到的现金||2,640|2,211|-|-
取得借款收到的现金||836,458|704,281|344,651|150,511
筹资活动现金流入小计||839,098|706,492|344,651|150,511
偿还债务支付的现金||(785,751)|(770,141)|(284,931)|(196,347)
分配股利、利润或偿付利息支付的现金||(61,759)|(61,968)|(42,623)|(42,045)
其中：子公司支付给少数股东的股利、利润||(14,245)|(15,207)|-|-
子公司资本减少||(182)|(86)|-|-
支付其他与筹资活动有关的现金||(18,682)|-|(10,459)|-
筹资活动现金流出小计||(866,374)|(832,195)|(338,013)|(238,392)
筹资活动（使用）/产生的现金流量净额||(27,276)|(125,703)|6,638|(87,881)
汇率变动对现金及现金等价物的影响||1,069|2,513|-|-
现金及现金等价物净增加/（减少）额|55(b)|455|(37,746)|(8,473)|(31,323)
加：期初现金及现金等价物余额||85,954|123,700|13,109|44,432
期末现金及现金等价物余额|55(c)|86,409|85,954|4,636|13,109
