page|141
资        产|附注|2021年12月31日|2020年12月31日
投资活动现金流出小计||94,172,003|77,442,258
投资活动使用的现金流量净额||(77,458,226)|(63,142,713)
|||
三、筹资活动产生的现金流量|||
吸收投资收到的现金||27,318,975|30,965,008
其中：子公司吸收少数股东投资收到的现金||27,318,975|30,965,008
取得借款收到的现金||179,552,559|208,893,494
发行其他权益工具收到的现金||11,890,077|23,986,366
收到其他与筹资活动有关的现金||1,188,022|
筹资活动现金流入小计||219,949,633|263,844,868
偿还债务支付的现金||130,754,197|203,263,532
分配股利、利润或偿付利息支付的现金||20,559,728|18,187,420
其中：子公司支付给少数股东的股利、利润||1,899,919|978,732
支付其他与筹资活动有关的现金|四(71)(e)|1,270,349|2,191,257
筹资活动现金流出小计||152,584,274|223,642,209
筹资活动产生的现金流量净额||67,365,359|40,202,659
|||
四、汇率变动对现金及现金等价物的影响||(324,693)|(775,912)
|||
五、现金及现金等价物净增加额|四(72)(a)|2,651,906|7,278,105
加：年初现金及现金等价物余额|四(72)(a)|145,463,712|138,185,607
|||
六、年末现金及现金等价物余额|四(72)(b)|148,115,618|145,463,712
