page|85
应付票据|14,918,768,963.77|7,827,563,274.42|六、（二十五）
应付账款|136,563,766,876.28|105,325,346,286.78|六、（二十六）
预收款项|868,439,877.23|327,812,898,917.99|六、（二十七）
合同负债|365,630,822,437.42|936,731,856.72|六、（二十八）
△卖出回购金融资产款|||
△吸收存款及同业存放|||
△代理买卖证券款|||
△代理承销证券款|||
应付职工薪酬|410,727,356.43|369,992,647.21|六、（二十九）
应交税费|-3,627,505,825.40|-9,089,211,964.13|六、（三十）
其他应付款|140,521,375,885.27|100,058,034,295.64|六、（三十一）
其中：应付利息|1,320,084,108.29|947,915,680.28|六、（三十一）
应付股利|216,547,950.27|158,391,933.56|六、（三十一）
△应付手续费及佣金|||
△应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|59,799,366,847.08|63,325,646,108.75|六、（三十二）
其他流动负债|31,874,073,048.37||六、（三十三）
流动负债合计|751,758,005,945.90|599,700,475,026.32|
非流动负债|||
△保险合同准备金|||
长期借款|207,160,409,823.00|172,072,334,404.05|六、（三十四）
应付债券|25,066,342,036.42|31,517,854,885.14|六、（三十五）
其中:优先股|||
永续债|||
租赁负债|28,232,112.55|27,277,585.13|六、（三十六）
长期应付款|||
长期应付职工薪酬|||
预计负债|||
递延收益|57,878,494.23||六、（三十七）
递延所得税负债|666,166,685.81|368,769,090.94|六、（二十二）
其他非流动负债|||
非流动负债合计|232,979,029,152.01|203,986,235,965.26|
负 债 合 计|984,737,035,097.91|803,686,710,991.58|
所有者权益|||
股本|11,967,615,691.00|11,932,675,162.00|六、（三十八）
其他权益工具|20,180,000,000.00|15,680,000,000.00|六、（三十九）
其中:优先股|||
永续债|20,180,000,000.00|15,680,000,000.00|六、（三十九）
资本公积|18,313,032,416.06|18,323,163,946.82|六、（四十）
减:库存股|||
其他综合收益|191,577,915.46|-20,071,352.63|六、（五十八）
专项储备|||
盈余公积|5,111,039,407.65|3,797,723,919.92|六、（四十一）
△一般风险准备|||
未分配利润|124,467,833,148.83|106,308,453,088.09|六、（四十二）
归属于母公司所有者权益合计|180,231,098,579.00|156,021,944,764.20|
少数股东权益|86,406,785,409.51|73,500,063,813.63|
所有者权益合计|266,637,883,988.51|229,522,008,577.83|
负债及所有者权益合计|1,251,374,919,086.42|1,033,208,719,569.41|
page|87
项            目|本期发生额|上期发生额|附注编号
一、营业总收入||243,207,861,928.94       235,981,035,684.68|
其中: 营业收入||243,094,868,536.68       235,933,564,582.09|六、（四十三）
△利息收入||59,055,702.99           36,720,901.60|六、（四十三）
△已赚保费|||
△手续费及佣金收入||53,937,689.27           10,750,200.99|六、（四十三）
二、营业总成本||198,058,385,738.59       188,841,883,128.17|
其中:营业成本||163,951,071,936.32       153,449,636,272.28|六、（四十三）
△利息支出|||
△手续费及佣金支出|||
△退保金|||
△赔付支出净额|||
△提取保险责任准备金净额|||
△保单红利支出|||
△分保费用|||
税金及附加||18,495,370,904.63        21,840,553,947.35|六、（四十四）
销售费用||6,876,623,310.34         6,680,664,007.67|六、（四十五）
管理费用||4,315,043,185.03         4,233,044,430.65|六、（四十六）
研发费用||1,260,470,195.49            56,258,733.08|六、（四十七）
财务费用||3,159,806,206.78         2,581,725,737.14|六、（四十八）
其中：利息费用||5,870,397,845.63         4,604,619,675.42|六、（四十八）
利息收入||2,445,492,678.19         2,253,182,383.68|六、（四十八）
加：其他收益||151,938,773.29            49,246,320.92|六、（四十九）
投资收益（损失以“－”号填列）||6,141,421,444.11         3,701,586,708.22|六、（五十）
其中:对联营企业和合营企业的投资收益||5,054,082,818.19         3,503,395,402.11|六、（五十）
以摊余成本计量的金融资产终止确认收益 （损失以“－”号填列）|||
△汇兑收益（损失以“-”号填列）|||
净敞口套期收益 （损失以“-”号填列）|||
公允价值变动收益 （损失以“－”号填列）||53,386,471.61          712,897,272.34|六、（五十一）
信用减值损失 （损失以“－”号填列）||-70,500,552.61         -154,453,391.61|六、（五十二）
资产减值损失 （损失以“－”号填列）||849,033,639.49        -1,047,843,355.70|六、（五十三）
资产处置收益 （损失以“-”号填列）||-10,087,268.36            1,691,507.08|六、（五十四）
三、营业利润（亏损以“－”号填列）||52,264,668,697.88        50,402,277,617.76|
加: 营业外收入||409,134,637.80           352,599,232.60|六、（五十五）
减：营业外支出||136,047,915.98           224,161,123.61|六、（五十六）
四、利润总额（亏损总额以“－”号填列）||52,537,755,419.70        50,530,715,726.75|
减：所得税费用||12,489,547,840.34        12,976,749,482.07|六、（五十七）
五、净利润（净亏损以“－”号填列）||40,048,207,579.36        37,553,966,244.68|
其中:被合并方在合并前实现的净利润|||
（一）按经营持续性分类|||
1.持续经营净利润 （净亏损以“－”号填列）||40,048,207,579.36        37,553,966,244.68|
2.终止经营净利润 （净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润 （净亏损以“－”号填列）||28,948,429,856.66        27,959,019,793.11|
2.少数股东损益 （净亏损以“－”号填列）||11,099,777,722.70         9,594,946,451.57|
六、其他综合收益的税后净额||211,649,268.09            68,307,015.91|六、（五十八）
归属母公司所有者的其他综合收益的税后净额||211,649,268.09            68,288,542.99|六、（五十八）
(一) 不能重分类进损益的其他综合收益|||
1.重新计量设定受益计划变动额|||
2.权益法下不能转损益的其他综合收益|||
3.其他权益工具投资公允价值变动|||
4.企业自身信用风险公允价值变动|||
(二) 将重分类进损益的其他综合收益||211,649,268.09            68,288,542.99|六、（五十八）
1.权益法下可转损益的其他综合收益||86,182,460.45          -27,515,419.66|
2.其他债权投资公允价值变动|||
3.金融资产重分类计入其他综合收益的金额|||
4.其他债权投资信用减值准备|||
5.现金流量套期储备||-5,597,835.51          -52,986,511.67|
6.外币财务报表折算差额||131,064,643.15           148,790,474.32|
7.其他|||
归属于少数股东的其他综合收益的税后净额||18,472.92|
七、综合收益总额||40,259,856,847.45        37,622,273,260.59|
归属于母公司所有者的综合收益总额||29,160,079,124.75        28,027,308,336.10|
归属于少数股东的综合收益总额||11,099,777,722.70         9,594,964,924.49|
八、每股收益|||
(一) 基本每股收益 （元/股）||2.42                    2.35|
(二) 稀释每股收益 （元/股）||2.42                    2.35|
page|88
项              目|本期发生额|上期发生额|附注编号
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金|322,970,637,386.57|282,038,772,413.60|
△客户存款和同业存放款项净增加额|||
△向中央银行借款净增加额|||
△向其他金融机构拆入资金净增加额|||
△收到原保险合同保费取得的现金|||
△收到再保险业务现金净额|||
△保户储金及投资款净增加额|||
△收取利息、手续费及佣金的现金|113,170,573.97|50,916,014.94|
△拆入资金净增加额|||
△回购业务资金净增加额|||
△代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金|87,429,205,114.02|70,962,535,748.16  六、（五十九）|
经营活动现金流入小计|410,513,013,074.56|353,052,224,176.70|
购买商品、接受劳务支付的现金|244,535,602,535.98|202,254,949,464.68|
△客户贷款及垫款净增加额|1,320,909,748.35|175,499,692.22|
△存放中央银行和同业款项净增加额|||
△支付原保险合同赔付款项的现金|||
△拆出资金净增加额|||
△支付利息、手续费及佣金的现金|||
△支付保单红利的现金|||
支付给职工以及为职工支付的现金|8,146,538,725.14|7,598,363,241.25|
支付的各项税费|45,499,334,843.37|44,658,834,065.39|
支付其他与经营活动有关的现金|95,860,149,601.99|59,209,261,978.06  六、（五十九）|
经营活动现金流出小计|395,362,535,454.83|313,896,908,441.60|
经营活动产生的现金流量净额|15,150,477,619.73|39,155,315,735.10|六、（六十）
二、投资活动产生的现金流量：|||
收回投资收到的现金|1,065,665,959.26|403,396,957.94|
取得投资收益收到的现金|840,573,180.68|342,920,650.97|
处置固定资产、无形资产和其他长期资产收回的现金净额|1,018,515,898.35|11,947,153.51|
处置子公司及其他营业单位收到的现金净额|30,000,000.00|43,400,486.61|六、（六十）
收到其他与投资活动有关的现金|3,617,424,690.37|1,350,537,360.68  六、（五十九）|
投资活动现金流入小计|6,572,179,728.66|2,152,202,609.71|
购建固定资产、无形资产和其他长期资产支付的现金|397,467,370.42|279,118,973.00|
投资支付的现金|7,603,636,164.85|11,473,220,095.04|
△质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|2,530,869,417.32|733,676,714.00|六、（六十）
支付其他与投资活动有关的现金|2,967,646,911.04|164,561,694.43  六、（五十九）|
投资活动现金流出小计|13,499,619,863.63|12,650,577,476.47|
投资活动产生的现金流量净额|-6,927,440,134.97|-10,498,374,866.76|
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|7,928,926,263.61|18,042,299,305.01|
其中：子公司吸收少数股东投资收到的现金|2,467,167,308.01|8,607,063,981.82|
取得借款收到的现金|151,340,085,047.45|102,417,950,351.47|
收到其他与筹资活动有关的现金|700,000.00||六、（五十九）
筹资活动现金流入小计|159,269,711,311.06|120,460,249,656.48|
偿还债务支付的现金|131,310,439,290.20|98,288,877,836.14|
分配股利、利润或偿付利息支付的现金|29,035,340,190.75|23,328,868,240.95|
其中：子公司支付给少数股东的股利、利润|2,452,416,396.18|2,187,267,045.39|
支付其他与筹资活动有关的现金|801,868,926.57|1,677,154,660.38  六、（五十九）|
筹资活动现金流出小计|161,147,648,407.52|123,294,900,737.47|
筹资活动产生的现金流量净额|-1,877,937,096.46|-2,834,651,080.99|
四、汇率变动对现金的影响|-39,539,910.47|76,351,261.93|
五、现金及现金等价物净增加额|6,305,560,477.83|25,898,641,049.28|六、（六十）
加：期初现金及现金等价物的余额|138,974,278,501.22|113,075,637,451.94|六、（六十）
六、期末现金及现金等价物余额|145,279,838,979.05|138,974,278,501.22|六、（六十）
