page|136
项             目|附注|2019 年 12 月 31 日|2018 年 12 月 31 日
一、营业总收入||33,786,623,201.85|22,168,629,906.05
其中:营业收入|六、42|33,786,623,201.85|22,168,629,906.05
二、营业总成本||28,100,011,964.92|17,603,424,994.04
其中：营业成本|六、42|19,866,037,324.07|11,954,123,393.78
税金及附加|六、43|3,638,389,243.98|2,386,131,117.38
销售费用|六、44|1,344,234,420.18|1,130,823,194.95
管理费用|六、45|1,592,773,180.28|1,447,539,958.13
研发费用|||
财务费用|六、46|1,658,577,796.41|684,807,329.80
其中：利息费用||2,559,164,520.02|1,875,590,893.31
利息收入||1,058,936,735.34|1,304,043,973.77
加：其他收益|六、47|26,690,229.70|18,066,452.40
投资收益（损失以“－”号填列）|六、48|496,631,473.94|846,667,139.91
其中：对联营企业和合营企业的投资收益||-958,216,021.01|-481,090,536.45
以摊余成本计量的金融资产终止确认收益（损失以“-”号填列）|||
汇兑收益（损失以“-”号填列）|||
净敞口套期收益（损失以“—”号填列）|||
公允价值变动收益（损失以“－”号填列）|六、49|-15,010,246.13|0.00
信用减值损失（损失以“-”号填列）|六、50|41,110,744.22|-8,214,249.28
资产减值损失（损失以“-”号填列）|六、51|-237,531,855.39|-231,420,285.66
资产处置收益（损失以“-”号填列）|六、52|641,997.12|8,187,604.32
三、营业利润（亏损以“－”号填列）||5,999,143,580.39|5,198,491,573.70
加：营业外收入|六、53|100,320,979.35|57,236,602.83
减：营业外支出|六、54|94,151,642.75|162,326,250.72
四、利润总额（亏损总额以“－”号填列）||6,005,312,916.99|5,093,401,925.81
减：所得税费用|六、55|2,299,949,441.94|1,519,190,783.93
五、净利润（净亏损以“－”号填列）||3,705,363,475.05|3,574,211,141.88
（一）按经营持续性分类||3,705,363,475.05|3,574,211,141.88
1.持续经营净利润（净亏损以“-”号填列）||3,705,363,475.05|3,574,211,141.88
2.终止经营净利润（净亏损以“-”号填列）|||
（二）按所有权归属分类||3,705,363,475.05|3,574,211,141.88
1.归属于母公司所有者的净利润（净亏损以“-”号填列）||2,378,452,817.17|2,063,396,555.86
2.少数股东损益（净亏损以“-”号填列）||1,326,910,657.88|1,510,814,586.02
六、其他综合收益的税后净额||-52,039,452.78|-231,126,728.97
归属母公司所有者的其他综合收益的税后净额||-28,239,254.27|-155,734,852.32
（一）不能重分类进损益的其他综合收益|||
1.重新计量设定受益计划变动额|||
2.权益法下不能转损益的其他综合收益|||
3.其他权益工具投资公允价值变动|||
4.企业自身信用风险公允价值变动|||
5.其他|||
（二）将重分类进损益的其他综合收益||-28,239,254.27|-155,734,852.32
1.权益法下可转损益的其他综合收益|||
2.其他债权投资公允价值变动|||
3.可供出售金融资产公允价值变动损益|||
4.金融资产重分类计入其他综合收益的金额|||
5.持有至到期投资重分类为可供出售金融资产损益|||
6.其他债权投资信用减值准备|||
7.现金流量套期储备（现金流量套期损益的有效部分）||31,931,049.90|-1,028,065.53
8.外币财务报表折算差额||-60,170,304.17|-154,706,786.79
9.其他|||
归属于少数股东的其他综合收益的税后净额||-23,800,198.51|-75,391,876.65
七、综合收益总额||3,653,324,022.27|3,343,084,412.91
归属于母公司股东的综合收益总额||2,350,213,562.90|1,907,661,703.54
归属于少数股东的综合收益总额||1,303,110,459.37|1,435,422,709.37
八、每股收益：|||
（一）基本每股收益（元/股）|十八、2|0.61|0.53
（二）稀释每股收益（元/股）|十八、2|0.61|0.53
page|139
项             目|附注|2019 年度|2018 年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||38,684,215,588.16|28,724,863,049.33
收到的税费返还||16,640,722.55|102,761.76
收到其他与经营活动有关的现金|六、57|20,977,272,418.03|23,719,841,710.40
经营活动现金流入小计||59,678,128,728.74|52,444,807,521.49
购买商品、接受劳务支付的现金||23,030,832,627.20|17,944,343,017.82
支付给职工以及为职工支付的现金||1,917,155,159.56|1,728,921,668.43
支付的各项税费||7,258,175,441.12|5,394,654,657.73
支付其他与经营活动有关的现金|六、57|23,406,973,128.95|26,250,080,821.36
经营活动现金流出小计||55,613,136,356.83|51,318,000,165.34
经营活动产生的现金流量净额||4,064,992,371.91|1,126,807,356.15
二、投资活动产生的现金流量：|||
收回投资收到的现金||2,310,904,104.89|1,000,000.00
取得投资收益收到的现金||309,388,551.77|237,973,042.94
处置固定资产、无形资产和其他长期资产收回的现金净额||2,304,088.77|61,048,890.27
处置子公司及其他营业单位收到的现金净额||614,817,228.49|634,183,665.54
收到其他与投资活动有关的现金|六、57|13,257,343,179.63|9,856,819,188.47
投资活动现金流入小计||16,494,757,153.55|10,791,024,787.22
购建固定资产、无形资产和其他长期资产支付的现金||2,389,528,331.80|2,574,792,648.18
投资支付的现金||1,947,520,900.00|6,397,764,310.01
取得子公司及其他营业单位支付的现金净额||961,489,375.61|84,621,168.09
支付其他与投资活动有关的现金|六、57|13,365,168,560.79|14,611,871,675.78
投资活动现金流出小计||18,663,707,168.20|23,669,049,802.06
投资活动产生的现金流量净额||-2,168,950,014.65|-12,878,025,014.84
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||6,688,544,382.64|905,640,357.00
其中：子公司吸收少数股东投资收到的现金||4,287,022,985.91|905,640,357.00
取得借款所收到的现金||33,992,790,491.10|37,343,788,972.12
收到其他与筹资活动有关的现金|六、57|2,571,958,909.09|4,277,685,329.98
筹资活动现金流入小计||43,253,293,782.83|42,527,114,659.10
偿还债务所支付的现金||27,415,253,274.08|23,486,439,606.98
分配股利、利润或偿付利息所支付的现金||5,082,029,110.29|4,739,808,778.49
其中：子公司支付给少数股东的股利、利润||646,019,742.80|1,082,708,428.88
支付其他与筹资活动有关的现金|六、57|4,662,884,317.50|4,046,980,112.57
筹资活动现金流出小计||37,160,166,701.87|32,273,228,498.04
筹资活动产生的现金流量净额||6,093,127,080.96|10,253,886,161.06
四、汇率变动对现金及现金等价物的影响||9,685,151.01|11,146,306.86
五、现金及现金等价物净增加额||7,998,854,589.23|-1,486,185,190.77
加：期初现金及现金等价物余额||19,036,381,672.48|20,522,566,863.25
六、期末现金及现金等价物余额|六、57|27,035,236,261.71|19,036,381,672.48
