page|177
资产|附注五|2021 年 12 月 31 日|2020 年 12 月 31 日
其中：对联营企业和合营企业的投资收益||2,769,758|1,637,477
以摊余成本计量的金融资产终止确认损失||(3,781,508)|(2,639,464)
公允价值变动 (损失)收益|57|(243,222)|105,833
资产减值损失|53|(1,589,571)|(1,023,339)
信用减值损失|54|(8,276,911)|(2,701,879)
资产处置收益||620,422|589,278
营业利润||34,814,406|31,020,589
加：营业外收入|58|1,111,804|1,068,358
减：营业外支出|59|774,791|598,395
利润总额||35,151,419|31,490,552
减：所得税费用|61|5,836,217|5,781,878
净利润||29,315,202|25,708,674
按经营持续性分类：|||
持续经营净利润||29,315,202|25,708,674
终止经营净利润||-|-
按所有权归属分类：|||
归属于母公司股东的净利润||24,690,556|22,392,983
少数股东损益||4,624,646|3,315,691
其他综合收益(损失)的税后净额|43||
归属于母公司股东的其他综合收益(损失)的税后净额||145,962|(1,228,318)
不能重分类进损益的其他综合收益(损失)|||
其他权益工具投资公允价值变动||426,509|15,905
其他||(4,474)|7,966
将重分类进损益的其他综合收益(损失)|||
权益法下可转损益的其他综合收益(损失)||(91,448)|(197,315)
其他债权投资公允价值变动||4,589|(1,164)
外币财务报表折算差额||(190,155)|(1,054,850)
应收款项融资公允价值变动||941|1,140
归属于少数股东的其他综合收益(损失)的税后净额||194,912|(15,902)
综合收益总额||29,656,076|24,464,454
其中：|||
归属于母公司股东的综合收益总额||24,836,518|21,164,665
归属于少数股东的综合收益总额||4,819,558|3,299,789
每股收益|||
基本每股收益(人民币元/股)|62|1.60|1.50
稀释每股收益(人民币元/股)|62|1.60|1.44
page|180
项目|附注五|2021 年度|2020 年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,075,803,668|986,032,268
收到的税费返还||246,412|106,094
吸收存款及拆入资金净增加额||-|995,373
存放中央银行款项净减少额||2,285,925|-
收到的其他与经营活动有关的现金|63(1)|27,927,157|22,830,631
经营活动现金流入小计||1,106,263,162|1,009,964,366
购买商品、接受劳务支付的现金||989,068,195|861,968,997
发放贷款及垫款净增加额||230,000|30,000
吸收存款及拆入资金净减少额||3,227,079|-
存放中央银行款项净增加额||-|141,291
支付给职工以及为职工支付的现金||76,368,883|67,478,870
支付的各项税费||26,711,563|26,214,812
支付的其他与经营活动有关的现金|63(2)|17,961,353|14,021,148
经营活动现金流出小计||1,113,567,073|969,855,118
经营活动(使用)产生的现金流量净额|64(1)|(7,303,911)|40,109,248
二、投资活动产生的现金流量：|||
收回投资收到的现金||8,102,705|5,325,793
取得投资收益收到的现金||1,420,422|1,553,930
处置固定资产、无形资产和其他长期资产收回的现金净额||1,949,670|1,893,816
受限制货币资金的净减少额||962,332|-
处置子公司收到的现金净额||1,091,759|129,966
收到的其他与投资活动有关的现金||966,424|1,138,677
投资活动现金流入小计||14,493,312|10,042,182
购建固定资产、无形资产和其他长期资产支付的现金||32,875,454|31,388,189
投资支付的现金||42,685,038|24,205,455
受限制货币资金的净增加额||-|3,592,698
取得子公司及其他营业单位支付的现金净额||3,005|-
支付的其他与投资活动有关的现金||-|1,153,511
投资活动现金流出小计||75,563,497|60,339,853
投资活动使用的现金流量净额||(61,070,185)|(50,297,671)
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||29,789,589|35,852,026
其中：子公司吸收少数股东投资收到的现金||17,401,498|5,779,641
发行债券收到的现金||15,660,218|13,434,057
取得借款收到的现金||180,640,822|157,726,106
收到的其他与筹资活动有关的现金||-|3,438,307
筹资活动现金流入小计||226,090,629|210,450,496
偿还债务支付的现金||173,618,250|148,331,534
分配股利、利润或偿付利息支付的现金||21,753,841|19,417,459
其中：子公司支付给少数股东的股利||3,458,065|3,068,919
支付的其他与筹资活动有关的现金|63(3)|20,116,458|4,462,474
筹资活动现金流出小计||215,488,549|172,211,467
筹资活动产生的现金流量净额||10,602,080|38,239,029
四、汇率变动对现金及现金等价物的影响||(155,619)|(674,726)
五、现金及现金等价物净(减少)增加额||(57,927,635)|27,375,880
加：年初现金及现金等价物余额|64(2)|167,669,496|140,293,616
六、年末现金及现金等价物余额|64(2)|109,741,861|167,669,496
