page|76
资产|附注|2021年12月31日 合并|2020年12月31日 合并|2021年12月31日 公司|2020年12月31日 公司
流动负债|||||
短期借款|五(17)|385,264,597|740,000,000|-|-
应付票据|五(18)|6,323,255,124|5,481,792,162|-|-
应付账款|五(19)|123,440,429,958|114,882,554,217|1,861,255|6,503,742
预收款项||121,988,827|358,764,131|-|-
合同负债|五(20)|45,715,630,416|42,956,614,980|-|-
应付职工薪酬|五(21)|15,711,553,418|14,537,236,219|-|-
应交税费|五(22)|1,438,429,020|2,813,616,614|3,844,170|8,283,857
其他应付款|五(23)|15,855,862,482|17,681,860,199|865,408,798|1,782,970,830
一年内到期的非流动负债|五(24)|15,561,385,455|12,993,807,451|-|-
其他流动负债|五(25)|10,584,037,687|9,795,756,312|-|-
流动负债合计||235,137,836,984|222,242,002,285|871,114,223|1,797,758,429
|||||
非流动负债|||||
长期借款|五(26)|1,834,976,244|2,482,059,823|-|-
应付债券|五(27)|-|2,997,466,647|-|-
租赁负债|五(52)|10,415,025,610|16,458,300,928|-|-
长期应付款||12,275,866|22,850,725|-|-
长期应付职工薪酬|五(28)|95,970,000|71,496,306|-|-
预计负债||122,853,239|-||
递延收益|五(29)|6,951,018,493|5,926,893,250|-|-
递延所得税负债|五(48)|1,636,795,301|796,405,653|-|-
其他非流动负债|五(25)|867,376,217|3,999,217|-|-
非流动负债合计||21,936,290,970|28,759,472,549|-|-
|||||
负债合计||257,074,127,954|251,001,474,834|871,114,223|1,797,758,429
|||||
股东权益|||||
股本|五(30)，十五(4)|30,991,393,212|31,015,595,487|30,991,393,212|31,015,595,487
资本公积|五(31)，十五(5)|80,443,139,550|80,390,793,406|73,428,483,148|73,359,927,495
减：库存股|五(32)，十五(6)|3,082,525,543|1,797,153,768|3,082,525,543|1,797,153,768
其他综合收益|五(33)|(3,485,216,619)|(3,473,294,962)|-|-
一般风险准备||507,501,616|370,625,101|-|-
盈余公积|五(34)|2,197,772,952|1,810,191,549|2,197,772,952|1,810,191,549
未分配利润|五(35)|41,645,083,677|39,391,758,341|60,327,456|99,777,329
归属于母公司股东权益合计||149,217,148,845|147,708,515,154|103,595,451,225|104,488,338,092
|||||
少数股东权益||186,993,203,055|183,765,440,420|-|-
股东权益合计||336,210,351,900|331,473,955,574|103,595,451,225|104,488,338,092
|||||
负债和股东权益总计||593,284,479,854|582,475,430,408|104,466,565,448|106,286,096,521
page|78
项目|附注|2021年度 合并|2020年度 合并|2021年度 公司|2020年度 公司
一、营业收入|五(36)|327,854,494,119|303,838,070,591|-|-
二、减：营业成本|五(36)|247,360,584,938|224,539,183,193|-|-
税金及附加|五(37)|1,427,098,636|1,353,836,795|759,992|492,417
销售费用|五(38)|32,212,432,115|30,461,035,396|-|-
管理费用|五(39)|24,779,618,578|25,759,169,107|7,955,294|8,601,664
研发费用|五(40)|4,792,173,304|2,963,703,038|-|-
财务费用|五(41)|96,713,074|226,721,429|(27,791,745)|(15,323,804)
其中：利息费用||1,229,336,920|1,455,970,442|-|-
利息收入||1,215,525,637|1,366,325,886|30,614,244|19,328,272
加：其他收益|五(42)|2,996,563,644|1,909,200,538|1,316,338|313,399
投资收益|五(43)， 十五(7)|4,376,749,888|2,846,617,030|3,875,313,559|2,114,455,774
其中：对联营和合营企业的投资收益||3,309,997,716|2,375,149,156|-|-
公允价值变动(损失)/收益||(38,971,641)|154,224,003|-|-
信用减值损失|五(44)|(2,809,277,447)|(5,308,389,814)|-|-
资产减值损失|五(45)|(491,730,885)|(287,739,075)|-|-
资产处置损失|五(46)|(3,523,409,238)|(2,258,035,781)|-|-
|||||
三、营业利润||17,695,797,795|15,590,298,534|3,895,706,356|2,120,998,896
加：营业外收入|五(47)|637,917,568|863,222,837|188,601|167,374
减：营业外支出|五(47)|526,391,565|494,012,455|-|-
|||||
四、利润总额||17,807,323,798|15,959,508,916|3,895,894,957|2,121,166,270
减：所得税费用|五(48)|3,391,137,160|3,434,586,040|20,080,928|32,857,845
|||||
五、净利润||14,416,186,638|12,524,922,876|3,875,814,029|2,088,308,425
(一)按经营持续性分类||14,416,186,638|12,524,922,876|3,875,814,029|2,088,308,425
1. 持续经营净利润||14,416,186,638|12,524,922,876|3,875,814,029|2,088,308,425
2. 终止经营净利润||-|-|-|-
(二)按所有权归属分类||14,416,186,638|12,524,922,876|3,875,814,029|2,088,308,425
1. 归属于母公司股东的净利润||6,305,465,753|5,521,311,508|3,875,814,029|2,088,308,425
2. 少数股东损益||8,110,720,885|7,003,611,368|-|-
|||||
六、其他综合收益的税后净额|五(33)|(27,450,153)|(1,705,820,294)|-|-
归属于母公司股东的其他综合收益的税后净额||(11,921,657)|(749,498,740)|-|-
(一)不能重分类进损益的其他综合收益：||48,003,222|(651,401,367)|-|-
1. 重新计量设定受益计划变动额||(10,082,774)|(2,243,657)|-|-
2. 其他权益工具投资公允价值变动||58,085,996|(649,157,710)|-|-
(二)将重分类进损益的其他综合收益：||(59,924,879)|(98,097,373)|-|-
1. 其他债权投资公允价值变动||(1,408,663)|14,916,998|-|-
2. 权益法下可转损益的其他综合收益||(43,722)|-|-|-
3. 外币财务报表折算差额||(58,472,494)|(113,014,371)|-|-
4. 其他||-|-|-|-
归属于少数股东的其他综合收益的税后净额||(15,528,496)|(956,321,554)|-|-
|||||
七、综合收益总额||14,388,736,485|10,819,102,582|3,875,814,029|2,088,308,425
归属于母公司股东的综合收益总额||6,293,544,096|4,771,812,768|3,875,814,029|2,088,308,425
归属于少数股东的综合收益总额||8,095,192,389|6,047,289,814|-|-
|||||
八、每股收益|||||
基本每股收益|五(49)|0.206|0.178|不适用|不适用
稀释每股收益|五(49)|0.206|0.178|不适用|不适用
page|79
项目|附注|2021年度 合并|2020年度 合并|2021年度 公司|2020年度 公司
一、经营活动产生的现金流量|||||
销售商品、提供劳务收到的现金||352,109,065,286|324,169,077,358|-|-
收到的税费返还||252,403,809|199,727,821|-|-
收到其他与经营活动有关的现金|五(50)|2,973,700,386|3,223,549,897|32,652,580|19,318,320
经营活动现金流入小计||355,335,169,481|327,592,355,076|32,652,580|19,318,320
购买商品、接受劳务支付的现金||168,487,676,793|156,293,585,668|11,353,945|8,710,904
支付给职工以及为职工支付的现金||56,801,392,764|49,657,299,907|-|-
支付的各项税费||12,703,672,149|8,121,140,154|25,280,607|27,301,687
支付其他与经营活动有关的现金|五(50)|5,370,850,427|6,186,564,744|1,581,435|4,004,468
经营活动现金流出小计||243,363,592,133|220,258,590,473|38,215,987|40,017,059
经营活动产生的现金流量净额|五(51)|111,971,577,348|107,333,764,603|(5,563,407)|(20,698,739)
二、投资活动产生的现金流量|||||
收回投资收到的现金||87,187,296,756|32,694,673,624|-|-
取得投资收益收到的现金||1,715,566,095|909,412,967|3,878,317,934|3,032,333,281
处置固定资产、无形资产和其他长期     资产收回的现金净额||2,272,033,811|1,647,315,265|-|-
收到其他与投资活动有关的现金|五(50)|19,861,030,365|13,704,000,000|2,300,000,000|-
投资活动现金流入小计||111,035,927,027|48,955,401,856|6,178,317,934|3,032,333,281
购建固定资产、无形资产和其他长期资产     所支付的现金||72,047,047,337|58,655,696,504|-|-
投资支付的现金||95,068,657,840|58,916,505,194|-|-
支付其他与投资活动有关的现金|五(50)|18,700,000,000|23,400,000,000|-|-
投资活动现金流出小计||185,815,705,177|140,972,201,698|-|-
投资活动产生的现金流量净额||(74,779,778,150)|(92,016,799,842)|6,178,317,934|3,032,333,281
三、筹资活动产生的现金流量|||||
吸收投资收到的现金||10,350,000|66,000,000|-|-
其中：子公司吸收少数股东投资收到的现金||10,350,000|66,000,000|-|-
取得借款收到的现金||7,392,325,000|10,740,000,000|-|-
收到其他与筹资活动有关的现金|五(50)|1,110,694,233|-|-|-
筹资活动现金流入小计||8,513,369,233|10,806,000,000|-|-
偿还债务支付的现金||9,710,520,215|18,009,401,886|-|-
分配股利或偿付利息所支付的现金||9,684,598,108|6,092,918,859|3,527,682,499|1,873,940,664
支付其他与筹资活动有关的现金|五(50)|15,028,582,294|13,685,516,457|2,296,485,265|51,750,176
筹资活动现金流出小计||34,423,700,617|37,787,837,202|5,824,167,764|1,925,690,840
筹资活动产生的现金流量净额||(25,910,331,384)|(26,981,837,202)|(5,824,167,764)|(1,925,690,840)
四、汇率变动对现金及现金等价物的影响||(78,144,099)|(182,556,764)|-|-
五、现金及现金等价物净增加/(减少)额|五(51)|11,203,323,715|(11,847,429,205)|348,586,763|1,085,943,702
加：年初现金及现金等价物余额|五(51)|23,102,356,786|34,949,785,991|1,595,606,711|509,663,009
六、年末现金及现金等价物余额|五(51)|34,305,680,501|23,102,356,786|1,944,193,474|1,595,606,711
